,Utterance,Response
26570,so proud of this album is 🔥🔥🔥,"love you baby, your energy gives me life in all the right places 💋❤️"
26866,sho?? cashews are life,it's all about the seasoned almonds 🔥🔥🔥
27858,pretty sure iphone 7 package is 100% paper. apple working towards all paper packaging for all products.,paper phone would be impressive. unless samsung makes it. 🔥🔥🔥😂😂😂
28130,"everyone when you lit tonight make sure to save nelly, don't worry those tracks still bump",country grammar and hot in here🔥🔥🔥
30386,*thinking face emoji*,🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🚮🚮🔥🔥🔥
32154,santa cruz tomorrow 🔥 🔥 🔥 🔥,no more tickets?😥
33772,dead ass bro! he called french and told em,then it's time for a free max b remix 💯🔥
34748,is ok! liz and i want to go sometime before our mexico trip so ya we'll see each other soon!!,omg that would be super cool. y'all can stay in my house. it's gonna be lit 🔥
34896,2am y'all enjoy! retweet &amp; tag a friend ...,back with that 🔥🔥🔥.
37212,i fcks w/ thug but i don't like that harambe song 😫,that shit is 🔥🔥🔥🔥
38302,there won't be a stream today 😱. i'm gonna try and get some rest and recover from this crazy month on ! love you all 🔥🔥,unacceptable.
40076,them triple black ultraboosts are 🔥🔥🔥🔥,all they nmd's and ultraboost are fire 🔥🔥
40202,problem: people are watching porn on our public tablets! normal solution: filter content ny solution: no internet,this is a truly 🔥🔥🔥 take
40814,just fucking puked everywhere 🔥🔥,mother fucking kane
41644,they should let us program a show someday.,i wish i had the money to have a film marathon. the line up would be 🔥🔥🔥🔥🔥
43304,omg moment! i'm psyched 😱,"50,000, eh? just heard it. 👍👊🔥⚡️!!!"
43774,bonfire tonight 🔥,😭 i love bonfires
44512,✨✨✨ you're so mf pretty it's so unfair :( u have such a cute smile!! we don't talk but we should 💖,💙💙 girl ur selfies are always 🔥🔥 you're so hot 😫 i think we use to go to school w each other!! but anyways you're supa nice
44558,💙💙 girl ur selfies are always 🔥🔥 you're so hot 😫 i think we use to go to school w each other!! but anyways you're supa nice,🤑💦 i miss ya hoe 😢 pe was so fun with u!! hope you're doing good and i'll see ya at ur grad bih 😜
44644,heard his album today🔥🔥,i hopped on the band wagon since i've heard it lol
45380,"ashleigh banfield on cnn is completely fed up with trump's ""birther crap"" 🔥🔥",he admitted it filth
45938,pure 🔥. the times has been to preoccupied with not wanting to look partisan. now it looks like they’re (1),if they didn’t want to look partisan they should of just investigated both the same way.
46682,yes i about to do another one from *13krstalign* got that fire🔥 lmao,that's what i like to hear...burn dem parasites!! 13 pure ra fire!!
49446,kevin durant throwing out the first pitch at the san francisco giants game!⚾️🔥,but he left at the first inning
49508,right now🔥🔥🔥,you guys were great!
49614,yo that meek mill diss track slaps,fr bruh he goes hard 🔥
50126,mood: tequilas 👸🏻👸🏼👸🏼,damn that spot is so 🔥
50276,rt: 40 days until the nba season… you shawn kemp hype? 🔥 (via ) — bleacher repor…,yo. the reign man. you know i used to live that cat. seattle was so exciting to watch for me.
51246,kingwjordan : i low key wanted to sleep over my bestfriend house was tired 🔥😴😴 prettyy_tnt (via twitter,pisses me off when they don't understand that you are begging just open the door...
51682,look at your cute ass😍😍🔥🔥,look at yours 😍😘💖
51832,i don't even feel bad about that dad's burger today. shit was hella good and i needed it. rough ass week of gym it's been.,dad's is fire! 🔥
52284,just wrapped up my remix for the remix contest! might be releasing it for free dl week! who knows!,yo sick thanks for the like men! btw holy shit the sleepless ep is flames 🔥🔥🙌🏼🙌🏼
53160,why he still tryna kill me 🔥,bahahahah there's me and my cliche comment lmao
53250,when you write such a fire lyric that you give yourself hives 🔥⛑😵,i cannot stand my own sister isis what makes you think i can stand you! love jr one she holds her shit to gain and lose weight!
53994,obummer is such a despicable ass intentionally trying2 destroy our country in every way possible.may he burn in hell,have you seen his wife he's there my friend he is there 🔥🐐💩
54580,"🔥🚨hillary birther🚨🔥 america's memory is so bad, they forget the 2007-08 clinton camp actually started","that old racial test, which has only ever been applied to a black person, how peculiar"
55042,"🔥🚨hillary birther🚨🔥 america's memory is so bad, they forget the 2007-08 clinton camp actually started",that's because they didn't. alt-right did &amp; spread it via emails.
55132,better come out to some wall football games. this team is the real deal 🔥🔥,"we're working hard to find a wall sponsor. when that happens, we'll be there all the time!"
55200,my first night club experience in downtown san diego was amazing 🔥,ughhhh jealous but happy for you!
57198,or..... winning the game 🔥🔥,you always win with a wife like that
57598,that little hip thrust tho... 😍🔥✨✨,happy saturday
58656,that shirt is straight 🔥,"i'm breaking out the nike ""it's spreading"" 1999 shirt for the game today."
58730,oliver queen back at it👀🔥,hmu when u outta work fam we finna get lit
59426,the filth master flex is today 😈 ... finally seeing him live after so many times missing him!🔥,read this fast and thought you mean j phlip and was like since when does he like dirtybird
61866,y'all really slept on me 👀👀👀👀🔥😅,i fuck with the all black but with the orange u can prob get a paint job nd still have money left over for upgrades maybe?
63856,not gonna lie but whoever music playlist she's using is fire 🔥🔥 and wallah i have no clue where deena came from 👀,"when adam family are dancing ""dembow"" that's a type is dominican music😻👏🏽👏🏽 love that family"
64096,🚒 😞 🔥🚹 the porn movies are wrong ... i've dropped the soap in the station house shower many times &amp; it's never started an orgy!,just swat another guy's butt with a wet towel ~ that will start the fire ball rolling!
65114,i ❤️ the new,i ❤️ it too‼️🔥😍
65136,"hey suzielphi_suzie, you may want to check for latest updates on 🔥_",thank u.. i will
65682,always 🔥🔥 no one is gonna take care of you like you !!,we must sit down and eat
65730,"gonna be a long day of recording, but if all goes well i'll be bringing you (double?) heat tonight 🔥🔥🔥",get hyper man
66410,haha thanks man! now i know what it's like to make it. 😂,that twitter engagement for you must be 🔥🔥🔥 right now.
66828,peters's is bloated and midler's is bland imo,you're really giving us all the hot takes today!! 🔥💻🔥
69404,so since i didn't get to play mainstage last night because of i made a little mix for everyone who was there to support us 🙏🏽❤️,get lost in the sauce ❤️🔥
70482,😂😂😂all you did was tweet about the incarnation and i got brands blowing up my phone want un to sponsor 🔥🔥🔥🙌🏽🙌🏽🙌🏽💥🙌🏽💥,i actually think i would listen to that...
70792,i feel like i'm still next to you in spanish you stay retweeting 🔥. thank you,oh my god those were the days
70996,stanford stadium will be 🔥🔥🔥 today. limited tickets remain for .,the chat feature isn't working?
71054,taking over the snapchat and insta stories today leading up to 🔥 follow at armadamusichq on snap,are you guys looking to party beforehand or what?
72284,skrt (remix) is the shit tho🔥🔥,his whole album is the shit tho honestly lol
72288,yes! passions boil🔥because we are voting for the best🆒 artista del ano🌟🙌✌️,voting for our king artista masculino pop/rock
72418,"🔥🚨hillary birther🚨🔥 america's memory is so bad, they forget the 2007-08 clinton camp actually started",yup! hillary apparently forgot too!
72900,"🔥🚨branding fail🚨🔥 evidence that the campaign, pundits and msm are working together. let's push ""power through"" 😂😂😂",their entire message &amp; branding have been off. they keep changing messages as more lies are exposed. no consistency.
73204,"""things are awful"" brand spankin new sculpture by ... and tiny. 😁 can't wait to open the box! ✨🔥 now we ✈️",i’d call it more of a physical gesture. out of respect to sculpture.
73894,this type of anger says loud &amp; clear that this isn't just about the anthem. it's about race and rights.,em is on 🔥 today!
74252,"🔥🚨branding fail🚨🔥 evidence that the campaign, pundits and msm are working together. let's push ""power through"" 😂😂😂",: she is going have to power through a trump train colonoscopy. not going make it libtards.
74766,fucking masterpiece🔥🔥🔥🔥,hey! can you please follow me on instagram? it's thank you!
74996,i got the whip tonight. it's littt🔥,did the fucking most last night.
75096,"happy birthday, ! i love you with all my heart. hope you're having a lit day! be a hoe 👅🔥",thank you! we look so young - it's pretty scary 😋💕💕
75616,there's a 20 degree difference from my house (venice) and the valley 🔥🔥,will modern renaissance be restocked one last time before marios palette launches? please restock!
76214,yeah that one smooth,it's really a goer 🔥
76250,. is ready to . bid on these game-worn gloves tonight inside gate c.,these 🔥 cleats are also up for auction tonight at the stadium.
76456,"🔥🚨branding fail🚨🔥 evidence that the campaign, pundits and msm are working together. let's push ""power through"" 😂😂😂",the only thing she can power through is a bottle of whiskey!!
76974,"because, deep down, we all want to be some permutation of elvis. whoever we idealised when we 1st felt the fire 🔥",i think for me personally i just wanted people to know what actual pain looked like
79324,new cnn breaking🔥 is revolting against and are voting for 👉🏻rt alert,awesome revolt it is! with everyone standing united with trump we can beat clinton nov 8th no more lies clinton
79678,"*during an improv scene set in a cemetery* : ""you can't just un-dig someone!"" she's the love of my life, guys 🔥⚡️💙💚💛❤️💜",go fuck yourself ❤️
80576,"it's official 🔥 coheadlining along side hiphop legend tour in this month 🙌🏽 hit single ""already hit it"" 🎤",down to record at indigital when you're on tour
80760,love it dude! i was thinking about something similar with the wolf i already have on my shoulder 👌🏼🔥,i think it would be dope
81406,🔥 run this town 🔥,"queen of them all, i meant the one and only beauty queen"
81568,updated ranks as well...,"hey should i start joe smith over obj, i know he's rated lower but i think his matchup is 🔥🔥🔥🔥🔥 👍👍👍👍"
82060,this shit go harrrrrrd. relevant af 🤔🔥🔥🔥🔥🔥🔥🔥🔥🔥,there's more coming too. just keep getting better and better
82068,"he better play as good as he did over there, cause my body is ready 🔥",bro my snaps check em. like bruh i was done. and the double patron shots murdered me
82258,take me to workout with you !!!! you look 🔥🔥,"yes love , whenever you want to."
84696,proud of my team today. rebounded from losing a game we shouldn't to get a big 1-0 win against a d1 program ✊🏼,courtesy of my rbi walk 😂🔥
84994,happy birthday miles! i miss you back here in cali but i'm proud to see you strive for greatness 💕😍🔥🎉,love and miss you sis ❤️❤️
85310,. strikes out 3 batters in the 6th. 🔥 🔥 🔥,the comeback story behind of the is awesome. great to see him the mound this month! !
85640,la vic's tonight we out fam come thru 🌮🌯💣🔥,that sauce! 🔥
85912,i got my nba 2k17 legend edition thank you 🙏🏾🙌🏾🔥,join the nba2k launch party tonight in san francisco!
86384,"nigga i do it for the team you already lmaoo , the blogs ain't ready for that heat 🔥",we out to the stu??
86718,everyone's laughing at samsung but do you realize the note 7 is *literally* the most 🔥🔥🔥 phone of all time,it’s really had an explosive impact
88460,what's up with the heat 🔥🔥,what's gucci mayne!!!
88846,sorry our film is not hd,it's ok ya still 🔥
89760,"🔥🚨hillary fraud🚨🔥 double, triple and continuous charging to campaign. won't answer calls. 🇺🇸","one thing i never do or will never do = is make a campaign contribution,"
89976,awwwww!! look at my beautiful big me guys!!!😫😫😭😭💖💖🔥🔥 her makeup game has gone such a long way💗💗💗,all thanks to you!!! i love you 😫💕
90842,right i miss wanting to scrim and mum talking us into pubs snd 🔥,haha i miss playing it's been a while
91512,you girls look 😍👌🏻🔥,thanks boo!!😍
91758,if this isn't the hottest thing i've seen ....like ever 🍗🔥,lol i'm not eating until monday
92848,"projection. she's abt as honest as a pol in public life usually is,but psychopath don lies +50%",clinton statements majority true. trump statements majority false/pants🔥
92968,clinton statements majority true. trump statements majority false/pants🔥,just patted himself on the back for deciding to stop lying abt pbo's b.certificate. 8 year lie.
93254,elevated 🔥 danger this weekend in w/interesting weather on the way. tune to for details ⛈⚡️,"it's always interesting weather n sol cal..never know what u will get. :-) c rain n forecast,hope we actually see some."
94906,is curving my social media experience. the is only good on the phone's native apps not any others,texting is 🔥. that's it
95166,happy birthday have a great day buddy 🎉🔥💯🙌🎯🍻🍾⚾️,thanks matt dont fall asleep tonight you might regret it
95178,bassment nyc... where getter wouldnt come anymore because the openers go harder than him 💀🔥💯,rip afk/getter 2014... one of my favorite nights
96910,. top 25 gorgeous💘 adult stars🌟 setting the world on fire🔥🔥,flawlessly gorgeous
96986,. i mean look at where specialty was in 2006. it's still the beginning days of mass market rtd,teal shirt bushy beard and pone. 🔥
97604,that's too much sauce 🔥🔥🔥,yassss sis ! slayyy 💣💣🔥🔥
100924,🔥 gonna be the new trend 🔥,when she got that nut in her hair fresh new nails💅🏽 &amp; cute feet😁👌🏻✨😈🍆💦💆🏻
102276,"🔥🚨hillary fraud🚨🔥 double, triple and continuous charging to campaign. won't answer calls. 🇺🇸",it's her own fault for being so ignorant. trump is the one who has heart for sick and disabled and she should know it
102850,🔥green screen hillary🔥 amazing! hillary is too sick to rally.,what the heck lol
103236,couple retweets &amp; i'll drop on sound☁️ tonight 🎶🎶🎶🎶✔️✔️✔️✔️🔥🔥🔥🔥💰💰💰💰,couple more retweets droppin n the am tho🤘🏾🔋🔋🔋🔋🔄
103250,couple retweets &amp; i'll drop on sound☁️ tonight 🎶🎶🎶🎶✔️✔️✔️✔️🔥🔥🔥🔥💰💰💰💰,couple more retweets fina drop tho 🎯🔥💰💰💰💰💎💎💎💎🔄🔄🔄🤘🏾
103950,🔥🚨look at her!🚨🔥 she looks drugged up and absolutely wiped out! 🇺🇸,looks like she is about to fall over. heavily medicated.
104952,🔥🚨look at her!🚨🔥 she looks drugged up and absolutely wiped out! 🇺🇸,. didn't have her brawndo energy drink today.
105270,follow the first 350 people to retweet this tonight! 🔥,hope to photograph you when i am there
106052,i can clear a whole bag of skinny pop,holy avi😍🔥🔥🍑
106364,detox starts today 🔥,"the lemonade master cleanse is my fave, but i always cheat w veggies"
109224,"when i think i'm going to🔥i watch a realty show &amp; know the line is so long, may get a reprieve",😂😂😂😂😂 or just jump on twitter and see what people tweet lol!
110092,"🔥🚨hillary fraud🚨🔥 double, triple and continuous charging to campaign. won't answer calls. 🇺🇸",she steels from everyone
110320,🔸🔶 vote for 🔴 🔸🔶 watch 👉 💞🔥 👉 💞🔥,very sexy :)
111136,db 🔥🔥🔥🔥🔥🔥🔥🔥,"one of my favorite scene, i was watching last night."
111702,they have some nice tucson shirts as well,i think we need to rethink our basic kit after seeing these 🔥🔥💯💯
113112,awesome! check it out 🔥,when excellent two artists meet the result is magical
113862,good morning💜 enjoy your,actually an 4 instance 🍁🏈📺🔥😉
113884,i say it with nothing but confidence.,waiting on his video drop td! 🔥
116708,🔥🚨look at her!🚨🔥 she looks drugged up and absolutely wiped out! 🇺🇸,maybe the muslims have a bigger plan for hillary should she make president: if there drugging her now: hummmmmmm
117100,"this is so🔥🔥 chance the rapper ft lil wayne &amp; chainz on ellen...weezy: ""imma let them rob me like ryan lochte""",dope performance wayne killed it
117330,i think this is why i feel like i need to get the house cleaned/organized today?,we just want the sirens and helicopters&amp; now jets gone. triggers 4kids since 5&amp;9yrold.me too. peace🙏☮ 🔥
117718,highest ranked big 12 team is...👀👀👀🔥🔥🔥💯💯💯,gonna screenshot this or something . . . in case haters get salty. 🙄
117754,best song ever man 🔥🔥,thanks g 🤘🏼(+)
117988,ahhhh addicted to this b/c of yewwwww 🔥,lol gurl i told you it was good 💯👌🏼 lol that baby part 😭
118274,when will you have an woman mma fighter on the cover !,put cydnee on the cover 😍🔥👊🏼
119248,couple retweets &amp; i'll drop on sound☁️ tonight 🎶🎶🎶🎶✔️✔️✔️✔️🔥🔥🔥🔥💰💰💰💰,tune n today 💯🔥🔄
120910,happy birthday 🎉 glad we bonded with dk in the library hope it's great❗️,haha after school breakfast club is🔥 thanks dean!
121344,"for some reason, i believe a chance/cole collaboration would be better than kendrick/cole.",listen to this and tell me if u still feel that way bruh 😂😂 both would be 🔥🔥🔥
122482,"20k woah. this. is. insane. thank you, ilysm💗",you deserve it your page is🔥❤️
122778,"hey you, have a lit day 🔥",having a terrible day.
123592,there's really good southern food at a place in manhattan called daisy may's. the mac and cheese? 🔥,i have to try it bc so far everywhere i've been in ny has been a disappointment.
124550,"""what's the temperature in southern california right now, 66 degrees?"" ronde barber killing it w/ the accuracy",meanwhile ☀️🔥
125258,spartan sprint finisher 2016,yasssssss babe 🔥🔥
125362,"duke on the fast track to 1-11. gonna lose a bunch of recruits too. hot, flaming garbage. 💩🔥","kinda like the glorious dozen years between 1996 and 2007? when they went a combined 19-117, for a .139 win%? ;-)"
126334,🔥🚨hillary is not fit🚨🔥 st. cloud and only proves the media and establishment want you ignorant. 🇺🇸,john kerry asked the media to stop reporting terrorist attacks. this is the result
127050,🔥💅 thread cc,"haha, the amount of indies here and the state of the major publishers mean i'm hella surprised this is a thing."
128670,polosport editorial 🐎 shot/edited by: ™ modeled by: &amp; ™,these fire 🔥🔥🔥
129250,happy birthday to my bro stay smooth 🎉⚽️🔥,thank you lil david 🙏🏼🙌🏼💯⚽️
129532,who took san francisco's summer and replaces it with actual summer? 🔥🔥🔥,"just in time for fall, as always."
130116,i'm really obsessed with my figure lol,work those curves ma😍🔥
131240,follow and . lyrical kingpins 💊🌡🔥🔥,u know it young boss
131594,melo working out this weekend already looks in mid-season form god damn 🔥🔥,making $40mill+ a year is very motivating :)
131708,couple retweets &amp; i'll drop on sound☁️ tonight 🎶🎶🎶🎶✔️✔️✔️✔️🔥🔥🔥🔥💰💰💰💰,fina drop real s👀n on soundcloud
131776,🔥🔥🏙⚡️⚡️ eat your heart out metropolis!!!!,this looks so good
132152,blount force🔥🔥🔥,too bad i missed it- could only get snippets on red zone. go blount!
134544,bae's fired up🔥,"he wants to push my buttons and he thinks he's funny. he's not, really."
135238,🌵getting crazy concert🌵,i came back from trader joe's with my notifications on 🔥 it was a great show last night🌵🔥
135540,ironically enough michael fassbender is giving his best performance in any of these movies,"omg i can't believe they had sophie turner say ""well at least we can agree the third one is always the worst"". maximum shade 🔥"
136016,"better late, than never! thx a million, you guys!",that tank is 🔥🔥🔥!
136042,that tank is 🔥🔥🔥!,it's a gem all right
136046,🔥wtf??🔥☠😷☠ takes sleepy hillary over 30 hours to release a statement on terror attack,she just doesn't care.
136076,north-african curry chicken thighs and chickpeas. recipe-testing for my blog and this one is a winner. 🔥🔥🔥,i'm never not cooking with harissa ever again. life's changed. many shoutout to you! 🙌🏽 xxx
136332,. in this skit though?! 🔥🔥🔥,happy for !
137778,love where stores her speech. 🔥,"...so what, no pockets! my housemates richard m and joel b are watching (they' didn't notice a thing)."
138812,"omg i can't believe they had sophie turner say ""well at least we can agree the third one is always the worst"". maximum shade 🔥",basic science: transferring consciousness is the number one leading cause of male baldness
140372,my favorite environment to see a woman is at her job. love to all the girls wakin up and grinding tomorrow. hard work is 😍🔥.,scrub lifeeee😏👌legit as fuck!!
140632,love blooms at oakland city hall. congratulations to newlyweds roberto costa and beverly correa!,congratulations roberto 🔥❤️💍💘
141094,finally! ! back to back wins for actors!,now ! dis. tew. much. 🔥🔥🔥
141280,too bad i only send you nudes 😚😚,..cause i'm so lucky!! fyi i have your fire booty as my wallpaper😏🍑🔥🙌🏻
142826,"🔥🔥🔥 ""real estate romp""😈💦🍆💦 ▶▶","holy height, how tall is elena??"
143010,now ! dis. tew. much. 🔥🔥🔥,they are not having it. i see the tweets already. lol
143262,this version of gtb thoooo 🔥🔥🔥,found you on 5sos's snapchat😱 (bottom left)
143304,this version of gtb thoooo 🔥🔥🔥,is that you guys??!?!?! towards the end of the video
143728,i have 'matt damon and minnie driver are at the same awards show' feelings.,literally just said the same thing to my friends! at least minnie is looking 🔥🔥🔥
143976,the north america jerseys are 🔥🔥🔥🔥 especially the black jerseys,i need a white miller👀
144554,exactly bro,🔥🔥🔥. just gotta get through this long depressing week 😂😂
145786,please 🔊 wake up america 🕪 never 🔥must watch &amp; retweet🔥,thanks obama for helping us expose hillary!
146020,the glo up 🔥,look at our baby faces awww aha
146620,meek violated game on this track 🔥🔥🔥,"bro i'm a come clean it's trash, he got 8 of his big homies on it. game went harder"
146800,i call it....hanley on fire,hanley on 🔥
147730,happy bday 🎊 hope it was good one🔥,thanks brady‼️
147820,"🔥🚨branding fail🚨🔥 evidence that the campaign, pundits and msm are working together. let's push ""power through"" 😂😂😂",: all these talking heads and secret service are in collusion with the fraud being played before the nations eyes.
148018,this is actually 🔥,facts was just listening to it
149222,my god son hit that 🔥,this is an outrage
150410,"[free] ""selfless"" partynextdoor x bryson tiller x trapsoul type beat 2016 [prod. by chris og]: via",super tough bro i'm almost done with the song i'm doing to your diamond beat 🔥🔥🔥
151482,couple retweets &amp; i'll drop on sound☁️ tonight 🎶🎶🎶🎶✔️✔️✔️✔️🔥🔥🔥🔥💰💰💰💰,go tune n w my soundcloud n a second 👀👀💎
151874,stoney out 🤘🏼,"check out my avi, lemme get a follow 😎🔥👍"
152064,meek mill washed the game 😱🔥🔥,that was terrible 😂 meek is 🚮
152980,"squad goals. and the other kid, mike, isn't there cause he's filming a movie. 🔥",that little girl reminds me of a young natalie portman.
153290,couple retweets &amp; i'll drop on sound☁️ tonight 🎶🎶🎶🎶✔️✔️✔️✔️🔥🔥🔥🔥💰💰💰💰,laptop dead n the mornin foreal 😕🙌🏾👽🤔. 💰💰💰💰
153392,clean ass feed🔥,thank you dude 🤘🏼☄
154858,you know your surgery got you fuck up when you finish 15oz of hydrocodone in 6 days,but you're about to look hot af🔥
155368,sexy girl💕 🔥,definitely plowable!
159618,ok happy bday kevin but goddamn juj that white dress and brown heels u killin it 🔥🔥🔥🔥,ahh thanks babe!!!
162348,🌅🌅🌅🌇🌇🌇❤️❤️❤️❤️realistic positivity | dailyvee 064,loved this dailyvee🔥‼️
162768,happy birthday kyle! hope you have a rad day 🤘🏻🔥,thanks you the best
162934,that edit-folder looked like a cauldron of hellfire🔥,yeah. that folder alone is worth the price of admission. that's a year's worth of hard work for my team and me.
163184,s/o 🔥🔥🔥do work...talk less!…,salute .. hit my line .. the new number 💯💯
163572,"danny brown. kendrick. earl. ab-soul. listen to cdq of ""really doe"" here 🔥🔥🔥",then god answers my prayers.
164696,"""rules 4 radicals"" book elite dems/libs do not want u 2 know about &amp; fear u read",you know the best way to best to defeat rules for radicals is to fight fire with fire. except their fire is 🚬 and ours is 🔥🔥🔥🔥🔥🔥
167626,retweet if you played this game! 🔥💯,this was my favorite game play with my bro
167704,🔥🚨🚨🔥 👉👈 shared a wonderful video to urge americans to save americanism. 🇺🇸,i am getting a message that the media cant be played :(
170142,moon monday with the amazing 😈🔥😈🔥,hey will you be joining the lovely at nj? ;')
170526,new video - unboxing every iphone 7 - 🔥🔥🔥rt!,i love the color black iphone 7 plus. if you're going to giveaway an black iphone 7 plus please lewis. i hope i win it.
170850,i looked at that and i couldn't tell if they were still playing anymore. good stuff 🐴🔥,very interesting
172130,this friday😌🔥,who's shit is that? 👀
173584,why?!? 102!! 😓👎🏾🔥,blazing here too. not so good for wine shipping. :(
173900,"happy birthday young brother 🙌🏾🍻🎉🔥 make sure you have a good ass time, ps i respect you tough since you been a great father 👶🏽🙌🏾",thank you brotha i really appreciate that much love 😁🤘🏽🙏🏼
175016,if you think you had a bad night please look at where i needed to go and the route my uber driver took to get there🙃,i would be 🔥
175292,i am fully deceased. the national twitter page quoted me😂😭💀,"lmao when you're tweet has been taken to national levels, you're too lit bro 😂🔥🔥🔥"
175570,their onion rings are fuego 🔥🔥🔥,the spicy ketchup ❤️
176562,this weather tho 🔥,still a beauty..
177654,6:30 this morning i made this lmao ‘’ by notoriousjd3 on ?,if you dont rt this shit you a fed and dont want kodak free🔥😤👊🏻💯💥🔫🚮
177722,i sent a song idea to work on and what he sent back was straight 🔥 i wish y'all could hear it,❤️❤️ love writing music with you
177970,5h heroe like powerful girl cinematic message.loved it.👏,13 hours and already more than 1.5 million views ✌️🔥
178898,"i always always get a doublemeat , light o , fried mustard no pickle , extra spread . 🔥🔥","mmm, that's gonna be my burger at work tomorrow! 😋"
179124,😂😂😂is that what you suffered over the weekend 😂🔥,. that was the dog
180592,there is so much stupid shit written whenever apple releases new products.,"mean, poor samsung owners are just hoping they don’t catch on fire 🔥"
180758,this is my favorite part,these two could be actresses. we feel you🖐🔥
181256,famous goes to :) he's my,best supporter of the day 😌👌🔥🔥🔥
181346,scu selling $50 tickets for drake &amp; future on saturday 🤔🤔🤔,buy them!!! 🔥it's worth it
181792,melba's is fire 🔥,"right around the corner from my place... let me know next time, we can talk a&amp;r."
181974,🔥🔥🔥🔥🔥🔥🔥🔥🔥 🚨awesome quote🚨 🔥🔥🔥🔥🔥🔥🔥🔥🔥 gov. had a powerful quote on and limbaugh. 🇺🇸,smart team of trump and pence!
