,Utterance,Response
51832,i don't even feel bad about that dad's burger today. shit was hella good and i needed it. rough ass week of gym it's been.,dad's is fire! 🔥
53160,why he still tryna kill me 🔥,bahahahah there's me and my cliche comment lmao
55132,better come out to some wall football games. this team is the real deal 🔥🔥,"we're working hard to find a wall sponsor. when that happens, we'll be there all the time!"
55200,my first night club experience in downtown san diego was amazing 🔥,ughhhh jealous but happy for you!
57198,or..... winning the game 🔥🔥,you always win with a wife like that
58656,that shirt is straight 🔥,"i'm breaking out the nike ""it's spreading"" 1999 shirt for the game today."
58730,oliver queen back at it👀🔥,hmu when u outta work fam we finna get lit
59426,the filth master flex is today 😈 ... finally seeing him live after so many times missing him!🔥,read this fast and thought you mean j phlip and was like since when does he like dirtybird
65730,"gonna be a long day of recording, but if all goes well i'll be bringing you (double?) heat tonight 🔥🔥🔥",get hyper man
66828,peters's is bloated and midler's is bland imo,you're really giving us all the hot takes today!! 🔥💻🔥
69404,so since i didn't get to play mainstage last night because of i made a little mix for everyone who was there to support us 🙏🏽❤️,get lost in the sauce ❤️🔥
72284,skrt (remix) is the shit tho🔥🔥,his whole album is the shit tho honestly lol
74766,fucking masterpiece🔥🔥🔥🔥,hey! can you please follow me on instagram? it's thank you!
74996,i got the whip tonight. it's littt🔥,did the fucking most last night.
75096,"happy birthday, ! i love you with all my heart. hope you're having a lit day! be a hoe 👅🔥",thank you! we look so young - it's pretty scary 😋💕💕
75616,there's a 20 degree difference from my house (venice) and the valley 🔥🔥,will modern renaissance be restocked one last time before marios palette launches? please restock!
76214,yeah that one smooth,it's really a goer 🔥
76974,"because, deep down, we all want to be some permutation of elvis. whoever we idealised when we 1st felt the fire 🔥",i think for me personally i just wanted people to know what actual pain looked like
80760,love it dude! i was thinking about something similar with the wolf i already have on my shoulder 👌🏼🔥,i think it would be dope
81406,🔥 run this town 🔥,"queen of them all, i meant the one and only beauty queen"
82060,this shit go harrrrrrd. relevant af 🤔🔥🔥🔥🔥🔥🔥🔥🔥🔥,there's more coming too. just keep getting better and better
82068,"he better play as good as he did over there, cause my body is ready 🔥",bro my snaps check em. like bruh i was done. and the double patron shots murdered me
82258,take me to workout with you !!!! you look 🔥🔥,"yes love , whenever you want to."
84696,proud of my team today. rebounded from losing a game we shouldn't to get a big 1-0 win against a d1 program ✊🏼,courtesy of my rbi walk 😂🔥
85310,. strikes out 3 batters in the 6th. 🔥 🔥 🔥,the comeback story behind of the is awesome. great to see him the mound this month! !
85640,la vic's tonight we out fam come thru 🌮🌯💣🔥,that sauce! 🔥
85912,i got my nba 2k17 legend edition thank you 🙏🏾🙌🏾🔥,join the nba2k launch party tonight in san francisco!
86384,"nigga i do it for the team you already lmaoo , the blogs ain't ready for that heat 🔥",we out to the stu??
88460,what's up with the heat 🔥🔥,what's gucci mayne!!!
88846,sorry our film is not hd,it's ok ya still 🔥
90842,right i miss wanting to scrim and mum talking us into pubs snd 🔥,haha i miss playing it's been a while
91512,you girls look 😍👌🏻🔥,thanks boo!!😍
91758,if this isn't the hottest thing i've seen ....like ever 🍗🔥,lol i'm not eating until monday
92848,"projection. she's abt as honest as a pol in public life usually is,but psychopath don lies +50%",clinton statements majority true. trump statements majority false/pants🔥
92968,clinton statements majority true. trump statements majority false/pants🔥,just patted himself on the back for deciding to stop lying abt pbo's b.certificate. 8 year lie.
96910,. top 25 gorgeous💘 adult stars🌟 setting the world on fire🔥🔥,flawlessly gorgeous
96986,. i mean look at where specialty was in 2006. it's still the beginning days of mass market rtd,teal shirt bushy beard and pone. 🔥
97604,that's too much sauce 🔥🔥🔥,yassss sis ! slayyy 💣💣🔥🔥
100924,🔥 gonna be the new trend 🔥,when she got that nut in her hair fresh new nails💅🏽 &amp; cute feet😁👌🏻✨😈🍆💦💆🏻
105270,follow the first 350 people to retweet this tonight! 🔥,hope to photograph you when i am there
106364,detox starts today 🔥,"the lemonade master cleanse is my fave, but i always cheat w veggies"
110320,🔸🔶 vote for 🔴 🔸🔶 watch 👉 💞🔥 👉 💞🔥,very sexy :)
111136,db 🔥🔥🔥🔥🔥🔥🔥🔥,"one of my favorite scene, i was watching last night."
113112,awesome! check it out 🔥,when excellent two artists meet the result is magical
113884,i say it with nothing but confidence.,waiting on his video drop td! 🔥
117330,i think this is why i feel like i need to get the house cleaned/organized today?,we just want the sirens and helicopters&amp; now jets gone. triggers 4kids since 5&amp;9yrold.me too. peace🙏☮ 🔥
117754,best song ever man 🔥🔥,thanks g 🤘🏼(+)
117988,ahhhh addicted to this b/c of yewwwww 🔥,lol gurl i told you it was good 💯👌🏼 lol that baby part 😭
121344,"for some reason, i believe a chance/cole collaboration would be better than kendrick/cole.",listen to this and tell me if u still feel that way bruh 😂😂 both would be 🔥🔥🔥
122778,"hey you, have a lit day 🔥",having a terrible day.
123592,there's really good southern food at a place in manhattan called daisy may's. the mac and cheese? 🔥,i have to try it bc so far everywhere i've been in ny has been a disappointment.
124550,"""what's the temperature in southern california right now, 66 degrees?"" ronde barber killing it w/ the accuracy",meanwhile ☀️🔥
125258,spartan sprint finisher 2016,yasssssss babe 🔥🔥
125362,"duke on the fast track to 1-11. gonna lose a bunch of recruits too. hot, flaming garbage. 💩🔥","kinda like the glorious dozen years between 1996 and 2007? when they went a combined 19-117, for a .139 win%? ;-)"
128670,polosport editorial 🐎 shot/edited by: ™ modeled by: &amp; ™,these fire 🔥🔥🔥
129250,happy birthday to my bro stay smooth 🎉⚽️🔥,thank you lil david 🙏🏼🙌🏼💯⚽️
129532,who took san francisco's summer and replaces it with actual summer? 🔥🔥🔥,"just in time for fall, as always."
130116,i'm really obsessed with my figure lol,work those curves ma😍🔥
131240,follow and . lyrical kingpins 💊🌡🔥🔥,u know it young boss
131594,melo working out this weekend already looks in mid-season form god damn 🔥🔥,making $40mill+ a year is very motivating :)
132152,blount force🔥🔥🔥,too bad i missed it- could only get snippets on red zone. go blount!
134544,bae's fired up🔥,"he wants to push my buttons and he thinks he's funny. he's not, really."
135238,🌵getting crazy concert🌵,i came back from trader joe's with my notifications on 🔥 it was a great show last night🌵🔥
135540,ironically enough michael fassbender is giving his best performance in any of these movies,"omg i can't believe they had sophie turner say ""well at least we can agree the third one is always the worst"". maximum shade 🔥"
136076,north-african curry chicken thighs and chickpeas. recipe-testing for my blog and this one is a winner. 🔥🔥🔥,i'm never not cooking with harissa ever again. life's changed. many shoutout to you! 🙌🏽 xxx
136332,. in this skit though?! 🔥🔥🔥,happy for !
137778,love where stores her speech. 🔥,"...so what, no pockets! my housemates richard m and joel b are watching (they' didn't notice a thing)."
138812,"omg i can't believe they had sophie turner say ""well at least we can agree the third one is always the worst"". maximum shade 🔥",basic science: transferring consciousness is the number one leading cause of male baldness
141094,finally! ! back to back wins for actors!,now ! dis. tew. much. 🔥🔥🔥
143010,now ! dis. tew. much. 🔥🔥🔥,they are not having it. i see the tweets already. lol
143262,this version of gtb thoooo 🔥🔥🔥,found you on 5sos's snapchat😱 (bottom left)
143304,this version of gtb thoooo 🔥🔥🔥,is that you guys??!?!?! towards the end of the video
143728,i have 'matt damon and minnie driver are at the same awards show' feelings.,literally just said the same thing to my friends! at least minnie is looking 🔥🔥🔥
145786,please 🔊 wake up america 🕪 never 🔥must watch &amp; retweet🔥,thanks obama for helping us expose hillary!
146020,the glo up 🔥,look at our baby faces awww aha
146620,meek violated game on this track 🔥🔥🔥,"bro i'm a come clean it's trash, he got 8 of his big homies on it. game went harder"
146800,i call it....hanley on fire,hanley on 🔥
147730,happy bday 🎊 hope it was good one🔥,thanks brady‼️
148018,this is actually 🔥,facts was just listening to it
149222,my god son hit that 🔥,this is an outrage
150410,"[free] ""selfless"" partynextdoor x bryson tiller x trapsoul type beat 2016 [prod. by chris og]: via",super tough bro i'm almost done with the song i'm doing to your diamond beat 🔥🔥🔥
152064,meek mill washed the game 😱🔥🔥,that was terrible 😂 meek is 🚮
152980,"squad goals. and the other kid, mike, isn't there cause he's filming a movie. 🔥",that little girl reminds me of a young natalie portman.
153392,clean ass feed🔥,thank you dude 🤘🏼☄
154858,you know your surgery got you fuck up when you finish 15oz of hydrocodone in 6 days,but you're about to look hot af🔥
155368,sexy girl💕 🔥,definitely plowable!
159618,ok happy bday kevin but goddamn juj that white dress and brown heels u killin it 🔥🔥🔥🔥,ahh thanks babe!!!
162768,happy birthday kyle! hope you have a rad day 🤘🏻🔥,thanks you the best
162934,that edit-folder looked like a cauldron of hellfire🔥,yeah. that folder alone is worth the price of admission. that's a year's worth of hard work for my team and me.
163572,"danny brown. kendrick. earl. ab-soul. listen to cdq of ""really doe"" here 🔥🔥🔥",then god answers my prayers.
164696,"""rules 4 radicals"" book elite dems/libs do not want u 2 know about &amp; fear u read",you know the best way to best to defeat rules for radicals is to fight fire with fire. except their fire is 🚬 and ours is 🔥🔥🔥🔥🔥🔥
170142,moon monday with the amazing 😈🔥😈🔥,hey will you be joining the lovely at nj? ;')
170850,i looked at that and i couldn't tell if they were still playing anymore. good stuff 🐴🔥,very interesting
172130,this friday😌🔥,who's shit is that? 👀
173584,why?!? 102!! 😓👎🏾🔥,blazing here too. not so good for wine shipping. :(
175016,if you think you had a bad night please look at where i needed to go and the route my uber driver took to get there🙃,i would be 🔥
175292,i am fully deceased. the national twitter page quoted me😂😭💀,"lmao when you're tweet has been taken to national levels, you're too lit bro 😂🔥🔥🔥"
175570,their onion rings are fuego 🔥🔥🔥,the spicy ketchup ❤️
176562,this weather tho 🔥,still a beauty..
177970,5h heroe like powerful girl cinematic message.loved it.👏,13 hours and already more than 1.5 million views ✌️🔥
178898,"i always always get a doublemeat , light o , fried mustard no pickle , extra spread . 🔥🔥","mmm, that's gonna be my burger at work tomorrow! 😋"
179124,😂😂😂is that what you suffered over the weekend 😂🔥,. that was the dog
180592,there is so much stupid shit written whenever apple releases new products.,"mean, poor samsung owners are just hoping they don’t catch on fire 🔥"
180758,this is my favorite part,these two could be actresses. we feel you🖐🔥
181256,famous goes to :) he's my,best supporter of the day 😌👌🔥🔥🔥
181792,melba's is fire 🔥,"right around the corner from my place... let me know next time, we can talk a&amp;r."
182790,this is the kind of content i want to see at sfsu 🔥,pretty soon you'll have a large mural along our southern border where you can express your feelings towards trump. 😂
182976,overwatch is 🔥,i'll probably pick it up then. you have a one of a ps4?
183568,in love with sound 🔥,appreciate the love 🙏🏽
183996,vans x toy story collection coming soon 👀🔥,yoooo... it's real 😳
184230,pull an aphex and add a food processor to your set up 🔥,present the vitamix and i will use it
185430,i have a cosplay audition today ❤️ wish me luck i'm heeded over in a few 🔥👾🔥,nice shirt nice t-shirt
185972,check the new intro/ anthem for my new podcast premiering september 27th 🔥🔥,do i get to the link?
186472,wat happens wen u do xans at the beach,all of u r super hot 😫😤🔥
188526,shit is 🔥🔥🔥,thanks marsh much appreciated 👌🏽
189176,"snap, crackle, pop me in the ass w your fat black donkey dick😈🔥","omg, i would so worship tat cock"
189260,"when people mention how i met your mother and ""great television"" in the same sentence",this series is 🔥
189762,"there's a 100% that if this comes on, i will sing as loud as i am able.",i know the spark inside your eyes was just the match i used to set myself on fire 🔥
190184,"you nice bro, make straight 🔥🔥🔥",thanks man much appreciated
190700,landon collins vs. the run 🔥,most improved player on the giants. looks like a totally different player this year.
190908,": the pictures from the other night? fire, homie. 🔥",yea i need those ✊🏾😂 wya?
192962,very chill beat n dope poetry keep doing you 🙏🏼🔥,thank you! i appreciate it
193666,send me beats 💀 cooking up something tonight 🔥,hey hyd ii got beats
195810,gotta make some killer memories together b's!!💛💃🏽🍺🔥,we will for sure!
196840,that song is a karaoke hit. you will ignite the place.,hope they have insurance then! 😬🔥😬🔥
197534,hot fire track by dropping soon 🔥🔥🔥,star is out on itunes
197742,the cast of at the la premiere event! 🔥,why does daisy look like someone that's pissed
197846,hot fire track by dropping soon 🔥🔥🔥,brand new tune kadondo
201252,having a hard time figuring out how to do life,you got this! also avi is 🔥
201644,get lost in the sauce ❤️🔥,get lost in the sauce man
201652,basic is a state of mind baby girl. rt : i’m basic if i go into barneys for nikes? they got some 🔥,you right ✨
202576,it's better when it's natural,love this outfit🔥🔥🔥
203130,is still getting killed by half a point on the last play of the week every week?,he had the good fortune of blowing me out last week! 🔥🔥🔥
203142,yeahhhhh niggas is sleeping on my guy !!!,shit gonna be 🔥
203268,you did it again this album is 🔥🔥🔥,agreed. the album is crazy dope.
203776,stay tuned for the final project 🍒✨ coming soon,yeah me and sarah were actually on fire but it's cool... told y'all to stay tuned 🔥🔥🔥
203848,"50 days out, hillary cancels an event in a major swing state and we have to read about it thru new media cuz the msm is covering it up.","the more they try to hold their blanket over it, the stinkier the fart grows underneath. now our anger is explosive 🔥🔥"
204046,that's an image i'll never get out. thanks a lot,🔥 my eyes 🔥
205078,fade on sight puto i ain't scared to pull ya know what mean💪🏽 call me sleepy foo,i mean yeah they call you sleepy because you get knocked out all the time 😱😱🔥🔥🔥🔥
205472,"happy birthday to this queen😍s/o to you for always keepin it real baby, love you❤️🔥","thanks mamasita, te quiero😍❤️💘😋👑"
206006,migos - bad and boujee ft. lil uzi vert 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,🕶 when you performing in 🤔 🌊
206438,tilt your head. dicks out. 🍆,bars harder than alcrataz 💯🔥
206654,and because knows what's up🔥,"duhh, i get you! 😊 even though i'd choose something better, but that's not bad to start off with! 😏"
207114,get off his dick meek violated the game,booo!!!! that nigga violated odeee two tracks straight 🔥🔥🔥🔥
212570,everyone better watch out! that's a dangerous woman!! 🔥 🔥,yes i agree she sure is great job guys
212608,"well 😅, people recommend webpack and react and those docs are 😱🔫💥🔥",absolutely. said they're investing a lot of energy improving then though
216046,that’s exactly the problems we had.,what a bunch of hacks 🐶🔥
217320,thanks for coming to tonight. great talking bbq. good luck w/ the weber smokey mountain.,that shirt is 🔥🔥
217834,and no touchdowns either. 🔥🔥🔥,oh so when tweet the same no one cares gg
219520,iphone arriving two weeks early on friday so i can break it at the drake concert on saturday. lit lit lit.,that is mos def peterican style 🔥🔥🔥
219820,network relationship co mobilize raises $6.5m: | via,congrats! 🙌🏻🔥
221776,hella just gave away all my personal information to all these random shoe websites 🙈,dude i know they are looking 🔥🔥🔥
223226,"new - ""tell me what i don’t know"" 🔥🔥🔥","hot damn paul white is out of his damn mind with this production. this album...man, this album's sounding crazy..."
224502,playing shawty lo shit all day 🙏🏽,thank me later bro 🔥🔥🔥
225116,"love him too, dude, this doesn't make the pic any less funny tho","going home after work, balotelli jersey going straight on 🔥🔥🔥🔥"
225140,that dey know remix was fire back in the day,facts bruhh nigga had luda plies jeezy and wayne on the remix every song he made in 08 was fire af 🔥🔥🔥
230018,excited for this one.. taking the main stage with jerseys very own . we're about to flip upsid…,🙏🏾 its gonna be a movie! 😬🔥
233316,two shows you say? let's tear this shit up!! 🤘🏻🔥,two show day here at the broadway theater-crush it!!
233442,guess what ?,whatt? 😂😂😍🔥
233630,"intel 4c core i7, 64gb ram, 2 gtx 1080s, 2tb hard drive. liquid cooled. it's a ""starter machine"" :-)","that's awesome, :) dual 1080s woaahoo 🔥"
234912,go courtside with community manager to learn about the new gameplay updates coming to,oh snap! an reference in the latest courtside episode ?!? 🔥🔥🔥
238320,im going to ikes again what should i get,"i get the gator and i add pesto, shits 🔥🔥🔥"
241552,low low key can't wait to do a makeover with you 😍🔥,hit me with the contour 💋 hahahah girls night soon 😜
242230,"get hip, if you aren't already, thank me later",got hip earlier this summer 🔥
247012,i need dat boi to tour too cuz his music is 🔥,he needs to make another album. i still haven't got tired of his first one tbh
247594,"it's so hot here. texas, why are you like this???",i'm so jealous - i love that austin heat 🔥
247722,"shouts to for playing in his most recent set - check out the whole show, it's wicked…",🙏🏾 yo that shit so fire 🔥
248224,"the video ""warzone"" in","did you see t.i. on trevor noah's show, ? 🔥"
248440,is it the gassss*?,the gas 🔥🔥🔥🔥🔥🔥
249488,when your seeing kanye and chance live in approximately one week😩🔥,correction: you're
249790,exactly! many users havin this problem. im one of them. the batery drains and hit up when charging 😢😢😢,"that sucks, at least it's not catching on 🔥"
252786,on my way to a dance class &amp; of course i'm rockin' out to you 💃🏻🎶👏🏻🙌,yesss you got those moves tho 🔥🔥🔥🔥
255226,goes to stillwater high because you get to watch the sunset before your game starts😍👏🏼⚽️🔥,my favorite part about playing night games! btw did you get cleared for your concussion yet?
260406,the only song of theirs worth anything is that one from spiderman,all of them are 🔥🔥🔥
263042,"""the unforgiven""* by metallica is pretty much foh in a musical nutshell. *bluegrass 'tribute' is 🔥🔥🔥",but how can i complain
264758,"it's that time of night when you ask your friend ""why don't you own a flame thrower?"" (commence flame thrower research)",i almost ordered this one when you texted and then got distracted. 🔥🔥🔥
272484,"annoying, huh? like people sending you tweets about how to do your job? 🔥🔥🔥","id say, that guys who don't like women screaming, probably can't make them scream. if u know what i mean."
273758,live visuals from last weekend's gig,this is so next level! beautiful! 🔥
274310,"so, anyone else's iphone 7 getting really hot and buzzing in your ear on calls? hmm 🐝📱🔥",the hot part can be if your backup is still indexing tons of photo and video
274320,"so, anyone else's iphone 7 getting really hot and buzzing in your ear on calls? hmm 🐝📱🔥",which can literally take days
274328,but the whole album is 🔥🔥,it's my favorite song on the mixtape*
277588,can't wait for these hoodies for the team. 🔥🔥🔥🔥,i want oneeeee 😩
277896,legs feeling super lethargic right now after this partner wod. it was a good one though. 🔥,spent most of yesterday in a fog. wasn't sure how i drove home!
278292,・・・ kentjonesofficial …,can you please check out my new single 🔥🔥🔥
279460,i have never fought an adult baby before. have your mom sign your permission slip.,yooooooooo 🔥🔥🔥🔥
280786,hat game for = still 🔥🔥🔥,great chat!
280924,dk where can i get that hat? 🔥,geez that face....but check out
281156,"eating at and saw this on the placard. how sad, how true.",and the food is 🔥
281326,"hey sam, how does 2nd place by 5 months feel?","woah, can we also take a moment to pay respects to 's bio? power move 🔥🔥🔥"
281352,gonna do an ama while i drive today. (only reading questions while stopped). ask me anything here and i may answer your questions!,would you let me bring you a burrito homemade at oakland 🔥🔥
282408,now this is how late night tv should treat trump. brings the 🔥,it's how all journalists should be treating coverage; call out the facts or unplug the mic!
282484,"eating at and saw this on the placard. how sad, how true.",and the food is 🔥
282640,and the food is 🔥,we are now playing a take on cards against humanity: arab version.
282924,listen to the season / carry me by anderson .paak on .,the hiatus kaiyote sample anderson paak has on malibu is way 🔥
283488,"if companies want to be actionable about their diversity efforts, hire for potential &amp; train in house. this post 🔥🔥🔥","""this is ur captain speaking, unfort we'll be crashing becuz i didn't bother going 2 pilot school"" is a flawed mindset"
283762,now this is how late night tv should treat trump. brings the 🔥,policy inquiries+ facts (trump kryptonite) in unexpected hubs!
283874,"if companies want to be actionable about their diversity efforts, hire for potential &amp; train in house. this post 🔥🔥🔥","engineering trades take yrs, not days 2 learn, 2 imply ""on the job training"" is absurd and you are smart enough 2 know this"
285166,chabot's baseball team is 😍😍🔥,you need to hook it up😂 i didn't know you were on the team till yesterday!
286328,"only good part of an un-air conditioned subway car: watching a person step in, look horrified, and run back out",🔥🔥🔥 welcome to hell subway goers it's pretty darn hot 🔥🔥🔥
288106,gotta get that cash to stay lit 🔥,that's what they want us to believe 😬😬😬 lmao
289902,thank you too for the sweet bat knob sticker! 🔥🔥,that's dope!
292426,'s elbow ain't no bitch,wish i could say the same about your knee 🔥🔥🔥🔥🔥
295514,nfl tonight!! 🏈🔥,who gonna win? texans defense???
295738,the whole sob x rbe be gassin,man this that hit right here 😈🔥
297436,brian burns 🔥🔥🔥,i'm ready for him to get right.
298160,just finished devising my first explicit usability test plan. giving a go.,tinder profile pic a/b? 🔥
299330,i might just be bold and ask someone to homecoming since no ones gonna ask me,you go for it girl! who would say no to ya???🔥
299356,i burnt my tongue 🔥,please stop
300386,i have my first art show on saturday. should i just display a bunch of memes?? maybe a powerpoint??,"damn fool, that would be legendary🔥"
301130,"dear , you are a god. i love you. new computer setup is almost done! new gear is 🔥🔥🔥",anytime you need gear just let me know
301252,i have to be real.....even though i'm not a believer anymore i still consider you top five doa 🔥🔥,i remember when i was in hs i had everybody bumping street prophecy 1-3......volume 4 is long overdue 🔥
301306,i spoke to my best friend today! all is well in the world! 👯👭,new avi alert! (at least to me) 🔥🔥🔥
301690,this the hottest song on twitter !! 👌👌🔥🔥🔥🔥🔥🔥🔥🔥🔥,yo this is a fucking hit bro we gotta make this go
302716,fallout boy... more like fallout bruh am i right 🔥🔥🔥,fall off horse 🏇
302878,"friends i am coming to the city in a month, go to museums with me",yes. let us know when you know what days you're gonna be here 🔥
303320,no same crib. the spot is on broadway and weirfield 🔥🔥🔥🔥🔥🔥,dope i’ve been out that way almost every day this week i thought you moved
304842,i was so cute what happened ????,what do you mean your glow up was 🔥
304968,please tell me you folks are going to do this for nba,nba twitter is 🔥🔥🔥
305064,fans: huge announcement coming your way at the end of tonight's new ep at 10/9c. been waiting forever to share this news. 🔥🔥🔥🔥,"oooh, could it be ??? not saying !"
309404,"mark grusane - mgm edits vol.2 sd002 samples now up on our page. new 12"" record coming…",just picked this up. b side is fire🔥🔥🔥
313246,thank you for your keyboard app ... from now on this is how i'll text people,"send us your best ones, we will rt! lyricmessages.com. or tweet them at us 🔥"
314236,that track goes hard as fuck😤🔥,me and anthony were listening to it cause those dudes are all in a sick ass black metal band now hahah
314484,there's more seasons! it gets better,i know i should've been done the whole show. i lacked for like 3 months lol! khaleesi tho 🔥🔥
314620,oh man you have no idea what's in store in the other 3 seasons straight 🔥,i'm excited 🙈🙈
315078,this new profile pic is really good 🔥,omg i'm truly honored! thank you. i'm coming by soon ;)
315756,good no one worth the unlimited texting,nah i have some people who mean a lot to me so it's kinda worth it but my girl wise i agree with you a 110% my guy 🔥🔥
317550,this date rapist mosquito has attacked for the last time. i sprayed off everywhere. if only there was a real life date rapist repellant.,"there is- it's called ""my dog marked this sweater as his territory."" aka i am a shut-in on purpose. ⚡️🔥"
321088,", spazzed on the game 🔥🔥🔥",can i get 5 minutes of your life i need a favor check out my new video
321848,these right here were 🔥,the only 'christ the king' i could cop at a reasonable price was the 7... happy they still stay crisp
322578,"man, this new record is the best cinematic dirtrock bluehop record i've ever heard.",i've been tryin to tell these people. it's an unbiased opinion. what you speak is truth!!🔥🔥🔥
323620,it is friday. it is about to be litt. tomorrow is saturday and i am going to the concert. this weekend it going to be littt. 🔥🔥🔥🔥🔥🔥,"enjoy, am sure the show will b , but above all be safe"
328890,"alunageorge, touché amoré, cymbals eat guitars, taking back sunday, the gaslamp killer, bad suns, against me! all with releases today. 🔥🔥🔥🔥","and now beach slang, every time i die, how to dress well, lvl up and warpaint today. 2016 is relentless."
329392,tears of joy 🔥🔥🔥,what do you do for money these days?
330246,if you ready for me to drop r rated retweet this 🔥🔥🔥,did u know that cares about ? watch this
330666,"it's been a long time, but i'm feeling 🔥",truly jealous of your hair
331518,"excited abt this project from a longtime viz fave, , and , whose , i'm learning is 🔥🔥",yayyyyy i'm super happy you find my viz on fire thank you 💖💖💖
331648,surf the web is 🔥🔥🔥,thanks bro 🙏🏿
332004,who thinks and myself should have a race rematch?,you were stalling 💀💀🔥🔥
333768,"tonight at 10/9c, gives one young rapper the chain of a lifetime on the finale! 🔥",did u know that cares about ? watch this
334978,"always testing, learning and communicating | 069",". ep is on point ... nothing fancy in this episode, just the grind! ❤️it‼️🔥"
336060,i really bump jefferey everyday. except harambe and riri 😂,harambe is 🔥🔥🔥
336122,my man put out a dope ep check it out 🔥🔥🔥,thanks brother
338748,off to oregon! let's get it! 🔥 🔥 🔥 🔥 🔥,good luck!! need a fb/te for next season my son is a perfect plus his grandparents are moving to colorado!!
341926,a lot of people won't even know what that is but that is 🔥,yea i know bro lol
342324,ayo take 30 seconds out of your day.. peep this 🔥,🙏🏽🙏🏽 thanks bro
