,Utterance,Response
4894,"""you can let me catch these 💤 or you can catch these 👊🏾... what it's gone be?!?!"" 😂😂😂",fuck all that i just snap on them thru text have them looking at they phones confused.
4998,i was just telling myself next time in nyc i need to use lyft 😂,lmfaoo it's just so much easier to take the train though 😭 but when **** paying imma just use it 🙃💀
5058,"yeah bitch , you love me. lets be friends hoe 😊😂😂",its cute how much u try n mimic me. but i take it as u dnt want a problem so hit me wen u do
5064,"for the better good, sometime you gotta let evil bigot do his thing. the big picture umaythaa!","ya destroy the status quo&amp;start fresh.no latinos,no black folks,no asian&amp;pacific islanders!just the white jesus folks😂"
5298,"it's not, but next pay cheque will be! 😂",there ya go
5328,thank youuu! we're out here turning 30 something 😩,def getting long in the tooth but we still some joints though 💁🏽💁🏽😂
5352,"""win a $250 gift card to saks"". and use it on? a pack of gum? 😂","if you catch them during one of their big sales, you can get a pair of blahniks honestly."
5440,to be a teenager in coventry hey 😂,'twas a luxe kinda living
5454,i be trying smoke n get up in u again lol i need that good good 😂,billlll i need a fan break if its that good 😉
5592,our dogs are too cool (and so similar),hahah ya mom sent me this too 😂😂
5836,i'm gonna sit my pretty ass home and wait for my baby to arrive 😊,"was finna be like see ladies, take notes.........then, iphone lmao 😂"
5932,homegirl was sucking on the strap? i have questions...,"have you even had your morning coffee yet, ma'am? 😂"
5988,that's my plan for tonight. it's going to be a late night again. need more coffee.😅,i seriously want to drink a bottle of wine and call it a day lmfao 😂😂
6272,wait how'd u know😂,i know everything 😤
6408,btw you look 21 today fella lol what's your secret,moisturizer &amp; cucumber scrubs 😂😂😂
6568,i'm so relieved you added 'scrubs !' lol i'm rude,i had second thoughts about cucumber 😂😂😂
6806,where were they?,in a drawer with winter clothes i was switching stuff over 😂
7032,the only thing i hate about iphones is the chargers suck and always break on me. 🙄🔫,they're only supposed to charge lol what are you doing to them 😂
7204,unholy levels of fine,i almost feel bad for thinking he so damn fine smh 🙃😂
7278,the one that never broke on me was the original one that came with the phone and my friend dropped it out of his car.😒,fuckery. steal someone's original one 😂
7294,all of a sudden i must say 😂,why are you awake so early!?
7402,eric's baby book i have so many 😂😂,i was wondering if that was eric lol you have to send me the rest 😂
7422,it was 2012. i was 19 going 20. he was 34. he thought i was just dumb.,he better sit his old head ass down somewhere😂
7558,takes one to know one😉😂😂,yes does but you def win
7644,most coffee drinkers feel that way! 😂,coffee is the elixir of the gods....
7672,lmfao i did i did he's one of my favs so i had too,already picking favorites that's terrible 😂
7748,smh oovoo had that since like 05 😂😂,haha way back in the day
7790,y'all be arguing with people i reported as spam eons ago 😂,i was hesitant to block at first now i'm like
7836,should i delete the snaps though 😂,nah you're fine. you should post whatever you feel like posting
7892,arrest warrant otw 😂,you ain't lying 😂😅
7992,i can't tell if he's crying or is sick or something. 😭,lmao i keep looking over to see if he's crying or not but i can't tell 😂
8058,i want to gala later but idk where to go :(,and who to go with? hmu 😭😂
8290,lmao said my day is cancelled 😂,that's legit how i feel in this moment. it may change by like 1 or 2
8308,ok. you did have me wondering. one thing about auto correct...makes us more interactive,and look a little silly.😂😂😂
8310,guys are so much more dramatic than girls from what i've experienced in life,hahahaa i feel like most of that experience was when we were together 😂😂
9182,he was eating?? 😂,yup. not too mention the glare. going to use as focus on stage story for classes this weekend
9494,i find out everything w out even trying lol,it be like that only in ny though 😂
9540,u gotta be a lil bit more creative 😂,damn son you right
9758,"i feel like i need a ""signature pose"" on insta. indy suggestions? nothing too douchey or kim k-ish.😂",no peace signs pls
9760,yeah i'm at school lol it's okay tho i have small boobs 😅,omg that's actually my biggest nightmare 😂
9802,"the only foods i ever get when orders our groceries is greens, frozen pizza and eggs. what kind of life am i living? really😂","i should also mention that if it weren't for , i might only be surviving on tap water and airplane snacks. you da best, g❤️"
9804,he doesn't speak english!!😂,he probably has a great translator! :d
9906,ugh yes!! you can copy my notes &amp; study guide too,sweet. or you can text me pictures of your notes and i'll copy them that way😂
9914,yes &amp; know all the words,💯👍🏽 i pledge allegiance 😂
9936,you're answer,other la fan who's ass hurt 😭😂
9964,the owners are sick of that dirt coliseum that don't vegetate money. they want team in vegas bad. 🤑🤑🤑,ricky bobby is this other fake account you have 😂😂😂
9984,i thought you feed a child when they are hungry or changed when they were dirty. sometimes it's 10 min bwhaha,honestly i have no clue i'm not a mom 😂
10154,the iphone 7 has a random piece of plastic where the headphone jack was 😂,that's acoustic medium density plastic. incredible engineering.
10246,yeah well i know when we're arguing you're going to leave me on read😂,you right haha stand by for that one
10274,the owners are sick of that dirt coliseum that don't vegetate money. they want team in vegas bad. 🤑🤑🤑,ricky bobby has a new account dedicated to somebody's balls 😂😂😂😂
10376,silly boy it's his jacket! 😂😂,right is that what the kids are calling it today 😂😂😂😂
10410,"you have clearly never owned a business, have you? and yes, having a net worth &gt; 1b is successful 😂😂😂",i actually have. it was a small business never intended to be a large multi national company. i love how you just make
10448,"lol. ricky, according to you and others, has at least 250 accounts!!! see a tweet you hate, it's ricky!! 😂😂😂",why is your twitter account dedicated to somebody's balls? i know it's you ricky bobby
10548,"tony, why are all leaving ? just coincidence? no, it's not.",that's how i know your ain't from oakland the a's ain't moving there trying to go downtown ricky stop creating accounts 😂😂😂
10626,"lmao you don't even know me. i'd be mad if i was sitting on twitter, doing this.",wait u are sitting on twitter doing this😂😂😂😂😂😂😂
10628,"shall i bag on carr, so it looks more legit?",ricky just remember carr &gt; bridgewater 😂
10654,cool. i'm ricky. fine by me.,ricky don't lie to yourself man cmon we told you this already 😂
10698,you tell me that's not fate?,that might be the greatest thing i've seen all day.😂
10714,cannot watch that walk off video clip enough.,me neither!! i can't belive it😳😂
10946,need an agent or to be in cali,fuck all that just break in on set while they filming 😂
11018,video was too perfect wore exactly what you rapped about without knowing &amp; we coordinated ode,was too perfect.. and we matched 😂😂😂😂
11060,i read lil thot 😂😂😂,that too like when girls would wear that in the fucken winter time 😂😂😂
11146,lmfao i saw your mom once at walgreens and she said the same thing when she was talking me and my mom😂😂,loll no way😂😩 shes a mess
11168,still staying away from cruz in all formats. upside just isn't there. he might be in his miles austin phase.,oh my the disrespect is unfathomable 😂
11192,an email was sent out,ooh okay that's weird i never got one i don't think 😂
11350,if you're interested in matt lauer's excuse that triggered my issues it's in the comments here:,i was grumbling to myself for a bit over this one 😂😂😂
11430,"you my nigga but you dont want that war, ya milly rock sus too 😂😂",you dnt want this static...
11574,i hope you can get the deal 💚💙 i'm sure you'll have the larries' support cause we all live this 😂,that's great to hear - we want your support!
11624,why my hair slicked back like that😂,the corn man ? wtf 😭
11670,is that even possible?? 😂,😂😂 i don't plan on trying to find out!
11672,"he was talking about jhene aiko, now that's everyone's girl 😂",bino hit it first 😂
11776,pablo had me dying 😂😂,pablo ain't shit he knew it was over 😭
11988,"love you too beccs aye remember ""can you get rebecca please"" lmao 😂😂😂",i was like ew who😂😂
12082,"years and years? well kind of, but 38 is more then years and years. i call it decades mark. 🙄",ricky stick to one fucking twitter account stop switching 😂😂😂
12290,hidden in the horrific loss is how bad boston's bullpen and starting pitching is. after price is what? porcello?😂😂😂😂😂,you need to look at two things right now: the standings and a calendar.
12550,remember before the 1975 when we went to dinner and that waiter went mad cause we broke the table light thing,hahahahaha we were trying so hard not to laugh coz he was fixing it so close to us 😭😂😂
12614,life of a bad ass bitch,he had never seen such an ugly creature before i guess 😂
12756,happy birthday i hope you have a good one beauty 😘🎉,thank you andrea💗 hopefully when we turn 21 we're out to vegas like we planned with magaly😂
12834,"swish, swish,",starting fires... 😂😂
12878,thank you andrea💗 hopefully when we turn 21 we're out to vegas like we planned with magaly😂,most def!!!! we're just 1 year away being 21 🍾
13006,why are people still poking me on facebook,because your white 😂😂😂😂
13074,"i mean no girl wants to be bragging about her bf then have someone be like girl calm down he's ugly, 😭😂😂",cause if a woman says calm down he's ugly she's hating. &amp; then she probably don't have a man herself lol
13128,much love for all these retweets 🙌🏾,i got you bro! i'm rt it just in case one of my 10 followers knows her! 😂😂😂
13158,"""it's like a dude who saw a nine inch nails video and then saw the crow"" talking about chris angel is killing me 😂",loved the benefit show story. my favorite episode in a while
13220,hey how long will this take?,"""when will this be fixed? i can't run till then"" 😂😂😂"
13242,i thought you wanted at least one person to admit 🤔,hahaha you're right thank you for proving my point 😂
13426,what gas station ?,central ave is a long ass strip 😂
13500,what about when dukes called for joceline n we was heading to stuart pool 😂😂😂,on top of that left her 6 incher in our fridge. she had. a bad day dude fr 😭
13980,omfg what is this hahahha,i found it in my time hop 😂😂😂
14004,i had originally said enunwa's ceiling was jordan reed/delanie walker 2.0. it is higher...maybe much higher.,"lol apparently he's not a te....but he blocks, chips, hedges, lead blocks, traps. 🙄🙄🙄😂😂"
14248,thats it?!?!?!?! i fuck wit y'all maaaan! happy anniversary to y'all!,right doesn't it seem like longer? it took way too long for him to find me lol 😂
14472,"asked if she is a birther: ""no. if trump says obama was born in america he was. whatever trump says is true.""",noooooooo! 😂
14512,about time you on this shit 👏🏻👏🏻,nigga still don't gotta tweet 😂😂😂😂
14614,if she wins i might never come back to america 😂😂,lmao it's not looking good bro! dom !! hope you're enjoying italy and everything is good wit you !! miss ya man
15002,"if i had a dollar for every person that thought i cared about 9/11, i'd be able to buy own ticket out the country. twice. 😂😂😂",special place in hell for weave wearing thots like you
15148,bitch someone just rt you on my personal lmaooo,hellary said the same thing this mornin too 😂
15342,lucky mf ! i'm about to be stuck once pluggo wakes up 😑,your not gonna be active the whole day after that 😂😂
15508,he actually dated my sister years back &amp; he was corny but now it's like mielda tienes que manejarte mejor!😂,"your sis gotta stop fucking w/ these lame niggas who say shit and don't @ people. that's cornball/bozo behavior, can't relate"
15530,drawingkit has a new gpu check that disallows it in an extension. so i swizzled it. 😂,i’m glad you’re back on the internet.
15772,lol at the people next to me who are on a first date 😂😂,which ones?!
15866,i thought you were a trap god ! since when u work a regular job lol,to the court imma changed man 😂😂
15868,who wants to game share 2k to my xbox?😂😂,free loader
15958,was too toe up yo😂😂😂,came alone way 😂😂😂😂
16106,isn't that special. 😈 trump has grt8 love &amp; affection 4 all u haters &amp; losers born fuc*ed up 😂,must be talking about his supporters.
16742,that's the foreplay. at least to me idk,i'm crying 😂
16890,"she's so foul, she ended our cute ass conversation with ""i call her headphanie!!!!!"" 😂",i'm blown away that your mom is that hip.
17114,so this white boy has been trying to talk to me &amp; this is what he texted me today ...😩😂,this is you
17182,yo remember when i was gonna get you and your little chinese friend to scam sugar daddies 😂😂😂,😭😭😭😭 money moguls round these parts
17198,lol of course i am. 🤓,duh! i said that cuz i'm waiting for my shirt from you 😂😂😂
17498,😂😂😂 church appropriate maxi dresses...plus i'm skinty. nothing to see here 😂,maxi dresses are always worth lurking for *heads to ig*
17508,a3: send the kids to grandmas 😂,a3 lol send them to gma! i am going to move if my kids to that
17550,"you really don't know know grubman's alter ego, do you?",ricky don't act you know because you don't 😂😂😂
17670,"expressing zero regret for years of pushing a racist conspiracy theory, trump again appointed himself judge &amp; jury on 's citizenship.",guess his cracker jack team of investigators finally made it back from hi 😂😂
17732,that's how it be tho,4 hours late tho 😂😂
17820,is it fire? imma listen soon,"i only heard a muffled clip but he was gettin real disrespectful, said he wants to fuck nicki 😂😂😂"
17840,apple battery case fits the iphone 7 just great! 😂,"i like your 6-megapixel camera, too!"
18054,deadass please do! ima guna shoot myself one day here,lmao you'll be alright 😂
18258,yesss i need to leave va for a week or so tbh🙄😂,lmaoo please dooo we need to go out .. wen u turn 18 i gota take u to a hookah lounge
18372,im in thatttt bihh 😂😂 i wanna go 2 the club tooo sooo you can take me there as well 😉😂,february about to be lit bc bae turns 21 so he can hook us up wit bottles😉😂😂
18470,when i tore my acl i felt like i was in mortal danger every time i shaved my legs. mom gives you a pass. 💕,phew i was nervous there for a minute 😂
18506,she got some,some jordan's it is 😂
18514,marcus keep telling me i hurt his feelings bc ion wanna see him today but i lowkey don't care 😂,tomorrow's a new day beloved lol
18560,thank you rachypoo 😘 i love it hehe you should come visit sometime xoxo,yessss!! i'll text you after i'm 21 so we can go out 😂
18598,lmfao it's honestly the most retarded thing i ever watched 😂😂,lmaoooo why she bending her fitted like that?? why she acting like she like the shit she doing???
18608,theresa!!!!! time to move into the kiriakis mansion 😘😘😘💋💋💋😎😎😎👍🏻👍🏻👍🏻👏🏻👏🏻👏🏻,uncle victor will probably die just so he can roll over in his grave 😂😂😂
18680,some special ed dude jus walked past me and stepped on my new white ass shoes and left a big ass mark on my shit 😑😐 idk how to feel rn 😂,beat his ass
18768,my uncle said that he watched on here from bible study. my aunt thought he was using his bible app. 😂,i love this. 😂
18784,"sjw triggered by student for wearing ""unsafe"" hat! 😂😂",this is ridiculous!
18916,"oh wow…ashleigh banfield is trending, apparently bc of how weak&amp;desperate she looks going ballistic over trump trolling the msm😂","she's having a tantrum on national television, that's what she's doing. she got pwn3d and she deserves it!"
18950,you think you're in the endzone since i carried you there when you tried to stop me but i'm the only one who scored😏,but i roll with the giants so don't get it f****d up 😂
18988,i really have 24 hours to pack my whole life and i havent started im dumb,it's ok i packed the morning of 💀😂
19046,what job u got lol,lmao uzo and never told u 😂😂😂😂😂😂
19156,my brother was telling me about bobby schmurda being sentenced 7 years before i went to bed so i had a dream that i was his lawyer 😂,i've been flirting with the idea of going to law school too 😏
19316,why you gotta fight with me at cheesecake,you'd be surprised on how many people fight at olive garden 😂
19408,miss you too have fun and make friends but don't replace us okay? 😂,i second what veronica said 💯👌🏼
19476,the iphone 7 has a random piece of plastic where the headphone jack was 😂,jesus people stop mansplaining this to me
19516,"pot, meet kettle lady u can't stand unassisted never mind stand up 2 anything 😂😂",you are making yourself irrelevant. afraid of losing p as president. thats all you care about
19704,aw i hate when that happens! yes treats. boy he really holds a grudge! mine usually get over it quick 😂,"i'm going to thank mine for how fast they get over it. now, flea drops. that takes longer for them to get over."
19842,"i already feel old af, though. 😂😂",i'm older than both of yall.. shush
20164,it's turned into a behemoth of joy 😂,behemoth of joy is going to be my queen cover band name
20170,"most think eric going to oakland is a 👍🏽 thing, believe me, it is not😮😶😫😅😐😳😟😣😱😭🤕🤒😢",ricky you don't know jackshit stfu dude 😂
20490,"lmfao they be on some "" honesty life is great"" bitch shut up you just got exposed you hurt 😂",lmfaoo on everything they lowkey be sick but they gotta fake it 😂
20506,i always regret not packing the night before .,"i start packing at least a week before lol.. bad memory, 🙇💬🚫😂😂😂"
20508,happy birthday to my fav asian!!!love you bffff and miss you tons🎉💕,the last picture yessssss😂😂
20524,just like yesterday? 😬,after know many try's huh and still no fucking site 😂😂😂
20638,"""in trynna be a wallflower at somebody illegal function"" 😂😂😂😂",yes this is you
20918,you're killing me with these 😂,". you're killing me...softly, with your words"
20934,when you end up surprising each other with flume tickets 🙃🙃🙃🙃,super fail! can't stop laughing 😂😂😂😂
20946,it's an expression i'm using on the hrc voters who are regretful. get it? i understand what happened.,haha. that assumes hrc supporters feel remorse 😂
20964,in love w. this new song!!,yassss me too! when it first started i was like ummmm but then the chorus dropped &amp; i caught the holy ghost! 😂
21160,promise of greater transparency hasnt materialized. maybe b'cuz,didn't promise transparency too? 😆😆😆😂
21178,lol! i low key felt bad when i read that she checked twitter but it was too funny!😂😂,did the same thing 😂😂😂😂😂😂😂😂
21398,love the plus size! so you had reserved jet black right?,"nope, it wasn’t available even at 12:01am. 😂"
21434,oh i see that's how it should be 😂,"lol like of course we gunna pay, but we appreciate you wanting to. makes us feel good. a small but important thing."
21574,since when did black stretchy chokers come back in style? i remember my sis sporting them in grammar school😂,"those really thin ones, right? that kinda look like tattoos? i've seen a handful around, i remember 'em. 90s revival, babyyy"
21904,kinda bored today and wanted to see if i could still do a leap... it's not perfect but not too shabby either 😂😂😂,well at lease your jump is a lot better then my 😊u are so cute both inside and out ❤️🌹xoac
22014,not really 😂,then idk what to tell you .
22036,classes are shorter today &amp; that class felt extra long 😂,😂😂 wait why are they shorter?
22050,"some obnoxious male who looks like a busted kneecap is telling the women they're not pretty enough for ... ok, then.",they are roasting him! called him an m&amp;m peanut with pine sol eyes lmfao! his mentions are in shambles 😂
22214,i'm very offended by the good in your morning. 😂😂😂,i'm going to need that in the form of a hashtag. 😅😅
22334,and they be hurt 😂😂😂,it's too funny bruh😂
22436,i hope it wasn't my mom. 🙈😂,hahahahaha not yet!! is she in town yet?!
22506,nah he just a didn't want you to call the cops,he really might've 😂
22950,already bought them 🤗,i should have known 😂😂😂
23112,...guess i fucked that up. i stole his job; he stole my heart. 😭😭😂,this is my favorite tweet of 2016
23160,that's a lot of money spent 😂,"yes, and i earned all of it"
23186,it's as if they are looking to say 'haven't you seen a cat talking to a cow before!!!' 😂😂😂,"they are saying ""don't bother us, we are having a private talk""!"
23434,my grandmother who only spoke spanish had to learn patois. a jamaican language. to which she then birthed my father. a jamaican man 🇯🇲,meanwhile i'm american asf 😂
23450,this is something you'd appreciate 😂,who is she👀
23510,"they do have a site idiot, two if bali passes faa...",when you have 2 possible sites that mean no site just yet dummy 😂😂😂😂
23564,spent 25 mins trying to say something funny about my app being next to 's face-moji. comedy is hard 😂,"""now i'm wishing i made our logo my face"""
23580,where's the snap? 💀💀💀,its on my instagram! i'll post a flash back friday later 😂
23686,"nooooo! 😖 ack, sorry to hear!",i know! it sucks and i was bummed but it's the closest i've gotten in like a year of trying lol. 😂
23760,"i'm talking about my textbook rental, but as i'm typing i realize this can apply to many things. clothes, people's hearts.... much wow",you gonna call someone's heart trash😩😂
23784,where's the 'vomit' one?,it was very popular so sold out... 😂
23828,o sh*t for a second i thought this was somebody doing cosplay. but no y'all it's just .,😂😂😂😂 that's just what we need: jamie to go all madrox and have clones! evil beware!😂
23958,"still trying to find out what ""freaky"" means 😂",you find out because i realized that i'm not a freak compared to a lot of people i've seen/met
24004,michelle on the stump,you know i'm watching 😂
24008,"iphone 7 running, but it didn't restore my icloud backup even though i selected it, so now i'm starting over 👍",now it's restoring the backup. time remaining: 2h 😂
24158,now it's restoring the backup. time remaining: 2h 😂,at least they're gonna refund me for the case.
24268,can you please tell us who is who here? i mean i already know who you are 😂,"from left to right robbie, theo, tommy, upton, henry 😊"
24358,"thank you bruh, you a day 1 too, don't approve of the flag tho🤔😂","it was only right, you're damn near asian 😂"
24804,yeah idk expect an extremely last min text 😂,we're ready when you are
24928,the 20th and of course that's the only day i have off🙄😂,wait where do you work ?
25024,new flash .... we don't want power.. stop selling it to us like candy,what if they let viewers edit the show somehow? that's the only power feeders really want 😂
25068,wish i had someone in my life who loves arby's as much as i do..,are you paid by them to say these things?😂😂
25328,i might end up going but i will let you know,it's okay 😂
25390,snapchat story of the year 😂😂😂😂,😂😂😂 had to get that work done in the library because i knew i wouldn't be back lol
25394,only you would manage to capture a view like this at a bent angle enit 😂,rose gold surface slipperier then you think 😂😂
25398,oh yeah i'm sure that will convince them lol 😂,that's why i suggested it 😏
25434,use your @ button 😂,lmfao niggas don't want my @ button to work slime. lol.
25586,let it be known that i am not a birther ...🤔 i'm an after- birther ... i demand to see the placenta as proof that obama was born in hi😂😂,that can be done because at his birth they kept the placenta and threw the baby away.
25628,i hope everyone at spx is warming up their hugs,so what kate is saying is that she doesn't need the free hugs sign this year. watch out grumpy people! 😂😂😂
25812,are you paris hilton????😱😱😱😂😂😂😂,"excuse me no sir, i am not paris lol"
26218,i hella just vented to my classmate lmao,next time call me and we can vent together 😂
26470,sometimes i feel bad for because i think ur my gf too😂,lmao it's okay he's a big boy. he can deal with it &amp; share 😊😊
26666,"lol no, but i really should be sponsored by them or at least get free coupons because i'm there 24/7 😂😂",lmao you must be the only person there😂😂
27028,"my brother and i both have job orientations today, so when we saw eachother getting ready we had to start quoting step brothers 😂😂","""we're here to fuck shit up"""
27278,mum looked at my marilyn manson tshirt and asked if he was a murderer 👀,because a security person at the airport was proper questioning me so she thought that could be why😂😂
27542,😂😂😂 let me waddle down there 😂,you still look like a peanut 💀😂😍😍
27588,i usually don't play lmao but i feel like playing tonight😂,let the games begin
27636,so uh i got my first automatic vehicle last night. waiting for tax season so i can go back to grinding gears and smoking tires.,i mean banging gears and smoking tires * oops 😩😂
27818,your facing stage 2 of henny symptoms. 😭😭,"lmao yo i drank it last weekend and god forbid you passed by me with out saying excuse me , i just wanted to fight😂"
27858,pretty sure iphone 7 package is 100% paper. apple working towards all paper packaging for all products.,paper phone would be impressive. unless samsung makes it. 🔥🔥🔥😂😂😂
27906,get out my mentions come back when you've met ya girl in person g. that's more important than tryna flex to a nigga who don't even like you😂,yall in love but never met in person fuck out my face wit that bullshit.
27918,my nephew really been funny his whole life lol,the fact that he didn't care when he got caught though 😂
28024,"my, my. the liberals are extra triggered today. 😂😂😂😂","aww... and you and your so called conservatives are bleeding extra thick today. plug it up, buttboy! lmao"
28162,oh. guess i be dealing with xbox niggas lol,might as well get you a man with an android 😂
28176,i dont even know i turned around and she was just hanging like that😂😂😂😂😂😂😂😂,"she was like ""let me be a spider/ spy today""😂😂😂"
28234,dude it was so fucking funny omg 😂,watching her start to panic was honestly hilarious😂😭 so lucky she was buckled in
28254,mean prefect!,lol remember when you banned all the bathrooms and sinks and forgot 😂
28386,"it's a gorgeous place, no mistake. well worth a visit if you ever get the chance.",haven't been over seas yet. i still think it's strange people from over seas come here for a vacation 😂
28542,they probably fixed it fast because of that. it's highly illegal for them to forget about it lol.,"makes sense lol well, i'll definitely remember that for next time... if there is a next time 😂"
28632,"lol love hate relationship, it's complicated 😂",like the relationship i have with tacos and carnitas lol 😂
28662,holy guacamole!,i actually did know this. random facts are us 😂😂😂😂
28760,i almost feel bad for the people who were around me. last night was so magical ❤️❤️❤️,would have loved to be next to you 😂
28866,lol. i'll have to add you to the list of 😂😂😂,"can't deal w/facts, just innuendos. that is when they go to imoji's."
28964,when you show your friends your risky outfit for the weekend 😩😂,never forget penthouse 808... your butt was in everyone's snaps 😂😭
29160,"btw, mercury retrograde is an optical illusion caused by the difference in speed of its orbit compared to earth. astrology is a lie.",this is the best thing i've read all day 👏🏼😂
29362,i hope our kid does some funny ass shit like this 😂😂,"im the clumsy one so.. count on it 😂 poor aubrey. she was like ""what the fuck just happened"""
29382,my teacher called me gorgeous 😊,one time my teacher called me cute but it's a guy and it got awkward 😂
29448,violate??? please lmk what you wanna say like ion got dirt on you boyyyy😂😂😂,seriously just stop it doesn't even matter what's going on but it's wrong to speak to someone like that --
