,Utterance,Response
70482,😂😂😂all you did was tweet about the incarnation and i got brands blowing up my phone want un to sponsor 🔥🔥🔥🙌🏽🙌🏽🙌🏽💥🙌🏽💥,i actually think i would listen to that...
70902,"😂😂😂😂 child my bedroom been clean, i ain't having premarital sex up in my apartment","ok, not in your apartment but what about them hotel rooms?"
71928,look at the dumb motherfucker on the right staring st a tree like he's never seen one.,😂 lookin for drones
72212,😂 wow this tweet deserves so much more love. gif game on point 💯,😂 did you notice the mama in the righthand corner watching the little one tumble?
72608,for some reason my niece thinks elway needs to be upside down,"😂😂😂 well, he is one of a kind 😉"
75130,😂😂😂 miss you too!,😘😘 these parties just aren't fun now without ya!
75224,"joe's the one who loves pedophilia, like u, trump is a supposed pedophile.",😂😂😂 your attacks without facts do not speak well of you! you have a problem... and johnson? 😂😂 block
76236,now that the money is there the raiders are gone this is the last season in oak sorry peeps,😂 you're fucking dumb
77010,😂😂😂 i don't know why but i find this so funny!,hahhahaha it is funny like tf is wrong with guys
77356,"sent to your house ,just a thank you for the cards ,ps. buy a scooter.",😂😂😂nothing yet mate 🍀
77556,😂😂 fasho bro,imma hit you up soon as i get settled in fam
77770,traceys hilarious gotta read his tl a few times for the comedic value. takes himself so serious while failing badly,"😂 i hate name calling but that dude is by far the dumbest of the bros on here, literally."
78460,😂😂😂 you're funny.,you don't seem to be very nice
78484,found them ..... thank you everyone! 💋💋🐜🐜,"😂🐜😂🐜😂🐜whoa,whoa,whoa it's ok !!!"
79074,😂😂 we attract asian guys,goal next webster show: get door guy #
79156,see i would.. but i'm too scary lol,😂😂 why bruh lol what's worse that could happen
79188,😂😂 why bruh lol what's worse that could happen,"she dub me via twitter then i turn into the laughing stock of the night, lol"
79434,she must have been blind,😂😂😭😭😭 hey that hair used to pull females
81128,don't disrespect xbox,😂😂😂 bro they make you pay to play online.
81552,o.m.g!!!!! lmfao!!!!! really gurl? really?,😂😂😂 killed me
82208,😂😂💕 you know me to well,friends for a reason 😊
83054,i hate this nigga so much lmll,😂 he just banging on his chest
83106,miss you and your attitude in mr aminian's class 😩💕,😂😂😂 omfg i hated that class. but i miss u more 😭💕
83308,walking round san francisco,😂😂😂 i am mclovin san fran right now
83596,"😂😂😂 ur a dud for that one, that meme is dead dev",you still a nasty ho tho
84810,happy bday 🎉❤️thanks for always reminding me how awkward i am!,😂😂 thanks ashlie!
85374,nah this joint had me weak,😂😂😂 they playing game
85404,lmfao so stupid like i don't even know what to say when he does this,😂 it was a waste of time arguing true
86334,😂😂😂😂😂😂 that could be a possibility,i'm sure of it. guys who care too much about social media-sports aren't getting any. guys with a woman don't have the time 😂
86872,"😂 i love a good hissy fit, &amp; churkin looked like he was working himself up into a doozy when cnn nipped it",i am sure rt will give it plenty of airtime.
88852,😂😂the only alum who hates his alma mater i swear,cal bout to get started 😋 at 730
88964,. thats an old louis ck joke recycled from some other nameless comic. ctr using 2010 memes.,😂😂😂 some vintage memes are appropriate for backward thinkers! admit it. you ❤ it!!
91118,indeed. everyone knows italia makes the finest fried oreos!,😂😂 that was only for the cannoli! but did get the fried oreos at feast of san gennaro... 🙌🏽💖
91712,"😂i was watching at amc in times square- got to about 70min, lights turned on ""major crisis, evacuate the building""",lot of smoke/apparent fire in the building/seems like everyones okay. thrilling interruption/ reactive thought: ?
92592,😂😂😂 but then it bleeds!! tmi alert,you need to improve your gold mining approach it sounds like
92738,already did actually,😂😂😂 i'm crying. definitely makes your twitter more interesting now
95068,is dha some sorta type? 🤔,"😂😂😂😂😂😂 lmao bruh i hate you it just means ""the"" ""dha"""
95138,"and so it begins, smh.",😂 stop being a psycho snap looks the damn same 😂
95208,😂😂😭😭😭😭 lmaooo okay that's funny,lets just hate the fucking giants that's better!
95362,😂😂😂 they don't care about me!,real shit tho my fam ain't hit me either 🤔🤔🤔🤔
98852,obvs aren't eating the right food then🙃,😂😂😂 i'm just over it ready for consistency again
98894,how many terror attacks have we had under barack? can't he even do that part of his job? hillary will be the same.,"😂😂 if you think this is bad, wait till trump is president. 😂😂"
98978,that's cool they are better than justin bieber,😂😂😂😂 for sure bro
99086,but you don't have a cat...,😂 oouuuuu then it's time to get one! (or four)
99682,mann like shippuden a lone is more episodes than the original!' i think lmao,"😂 naruto ""she pootin"" got me all the way fucked up."
99744,😂😂😂 bro i was cross faded and you know it. of your nasty ass bong!!!,don't talk about my baby like that lil bitch 💁🏼
100020,😂😂 thank god he was holding that shit,lmfaoo this waste man got charged
100952,"😂😂😂 just take the congrats, have fun newly weds ✌🏾️",mann foreal take cred where it's due
101010,😂😂😂😂😂 where the chicken at?,no clue my nigga the shit gets me tight 😒
101070,😂😂😂 i don't not yet 😥 been delayed by up to 28 days messed lots of there. customers around by over,what a bummer!!
101260,😂 do y'all go to ksu next year?,uh i believe so? i think it's kstate sdsu nd next year
101810,😂😂😂😂 sean kingston about to diss him over that controlla beat,chill bro if he do the that man is finished
102170,😂😂😂 i cant stop even thinking about it. like why i got hand picked for this kind of fetish lmaoooo,must be your exotic eyes.
102462,😂😂😂 wait i never heard that one before he original,i've heard it once before!
102628,yea pull up,😂🤗 was that ya pull up in bk
102742,then i just linked with my dawg killa cam,😂😂happy new year... killa got the mean bucket 💯
103082,😂😂 good luck,lol i think i'll make it
103414,😂😂😂😂 congrats by the way on getting noticed shannon!😌,aww the is jess - congrats to you too even though i have no idea what she's talking about in her tweets to you 😂😘
104862,😂😂😂 you not a fan of my game day poem?,lol nah i'm not a fan of it
105622,i might have taken slight liberties with 's end-of-conference announcements,😂 ok. are you still in nyc saturday night or sunday lunch. can't do large groups but would love to🍹
106644,😂😂😂😂😂😂😂 good one!!!!,it's true unless proven otherwise 😂
107072,"😂😂 its early! besides we aren't dirty, just play hard. cam is a big dude that is hard to tackle.","he's a dramatic pussycat. key word being....well, you know 😂"
107454,"😂😂😂 only barely, though!",i know what you mean.....
107548,"😂😂😂 gotta run, its been fun broncos💪",bye luce! talk later 😉
108002,l for the music. l,😂 i paid for the itunes music mane. i gotta let that thang shuffle b
108046,😂😂😂😂 if the shoe 👠 fits.....😉,lace that bitch up and wear it 😂
108244,this your child?,😂😂 absolutely
108320,"😂 he so mad it's ridiculous. sean kingston not even speaking on it, why is he? game fake af.",he was he deleted all his videos tho 😂😂😂😂
108386,😂😂 just watch lol rt : truths cause it's sunday and i don't tell lies on sunday,why my own family would want to make a liar outta me is just going over my head right now 😂😂😂 ; being up ass yo ny
108928,thought of offense is giving me no peace of mind today. also giving me heavy pause on my previously bold 4-0 prediction.,😂😂 that didn't last long
109224,"when i think i'm going to🔥i watch a realty show &amp; know the line is so long, may get a reprieve",😂😂😂😂😂 or just jump on twitter and see what people tweet lol!
111466,happy birthday to the only person who wasn't scared to teach me how to drive lmfaoooooo love you 🎉✨💘,😂 thank u appreciate it
111570,😂😂😂 a modest proposal indeed,"one of my middle school students seriously asked me if i had ever met isaac newton, i said yes, but i was very young at the time."
111592,today all the trump spokespeople are,"😂😂😂 that's really sad. what are they promising will be on every corner this time, churros?"
112458,when i read this i thought u were saying you saw beyoncé throw up a hotdog then hop a fence into your hotel hahahah,😂 that wouldve been even better
115712,😂😂😂 u gonna stalk him,i'm just wondering if he sees our
115720,😂😂😂 u gonna stalk him,potty mouths 😂
115728,😂😂😂 gets a dose of their own medicine,"- is a lying, media fucktard of a democrat propagandist. come the revolution, remember him."
116150,wild petty like we zont go back,😂😂😂😂 i'm hungry idc . needed all the blueberry muffins cheese eggs bacon and sausage 😈
116552,😂😂😂😂 is she giving him air?,"girl, i told her he's gonna shit everywhere cause he's not use to that fancy shit 😂"
116674,"😂😂 one love family , shouts out to ghana ✊🏿",aha! eiii i thought we were famirillyyy chale. ha.
117384,😂😂 then you ain't gotta text nobody lame,lol i fuck with you for that !
119468,😂😂 sus!!!!!,they took off their shirts to fight too lmfao really sus 👬
120428,😂 oh i see but yo the dolphins need to step up man.. i thought their was hope from week 1,i swear there's hope every year week one untill they prove me wrong 😂
120602,lmaooooo to throw back with the ima dunning,😂😂😂 facts so u eve still do that presentation in training ?
120972,renee doing an oz accent! lol,😂😂😂funny good day to you two have fun and enjoy
120988,😂😂 pinball ass head,you are the epitome of ugly
121136,"my husband just said "" i wish suggs would just retire""",😂 he might be right
121332,😂😂 don't u ever disrespect my feet like that rt : so yo feet look like falcon claws? figures,you gone need extra scrubbing on that heel this week
121726,😂😂😂😂 he was right again can't argue with that unlike lying hrc with benghazi video,"he showed lack of restraint and temperament as usual,he's deplorable &amp; unfit for the highest office,he lacks judgement....period"
121860,😂😂😂😂 that shit be annoying af especial when meta starts doin it lmao faaaaawk lol,you should of seen at the funeral 😂everybody was talkin like that 😂😂😂😂
122276,"😂😂and to think, if they weren't so snooty you could have liked the book and championed it for us all to check out 💁🏽","seriously! 100% respect not sharing specifics,but also really want to know who i should *not* be supporting! :p"
122396,happy birthday john.! stay outta trouble! 😋😋👮👮xx,😂😂😂he can't!
122702,😂😂😭 adolescent body,"lmao, glad i took so long to notice."
122906,"sorry, stop talking. no one can take you seriously. go get your gabbert jersey.",😂😂😂 you mean an organization that leads the league in arrests in the last 5 years?? gtfo
123066,😂😂😂😂😂😂 facts since day one that's what niggas was calling it,lol dead ass tho
123318,😂😂😂 damn it i'm wasn't top 3,still love you tho ❤️❤️❤️❤️❤️❤️
123596,white people i'm sure,"😂😂 fr though, i spent all morning in the er b/c of that mess!😒"
123686,so weird 🙄 and right outside my dorm too,😂 well yeah aha u gots a problem with that
124132,😂 sorryyyyyy,i got my lucky shirt on/at a pats bar i got a good feeling
124268,😂😂 is it that bad?,yes &amp; its progressively getting worse🤕
124498,smh the dolphins are ass 😑,😂😂😂 they always doing some typa bullshit
124970,the picture i tweeted lol,😂😂😂😂 cracking up!
125010,"😂😂😂😂unbelievable!! the ones that act the ""most down"" are the biggest punks! smh",it's always an act. their white privilege always kicks in.
125582,😂😂😂 the longer the hair the better!!,true. i am trying to grow my hair out actually
125644,why is daniel drunk @ 10:46pm... it's too early fam,😂😂😂😂😂😂 went too hard too early
127144,what a bunch of sorry $&amp;@$. i can't believe let those damn . i want to cry.😡😡😡😡😡😡😡,😂😂😂 damn stephen a! but i do agree those teams are sorry. 2-0 giants all day!!
127686,😂😂😂😂😂😂😂😂😂 pathetic! 😂😂😂😂😂😂😂😂😂 how can this news network be taken seriously? the hyperbole is thick! 🇺🇸,this was a act 4 public on 9-11 2 take off the focus hrc. she destroyed her phone &amp; insulted americans
127744,😂😂😂 so? we don't have to three way convo all the time?,all im sayin is that ya better not break up w me ok im in my bag ok
127816,😂😂😂 you are so needy. and you are apart of the friendship.,i am very needy thank u for being attentive to me love u by
128358,😂😂😂😂⚽️ brilliant in a good way,goal celebration injury 😂😬🍀
128744,yes. and the stochastic terrorism. but that word will confuse the little brains.,😂😂😂 that's what started their little playground antics
129644,"all i can think of is ""pivot. pivot!!!""",😂 definitely quoted this
129928,😂😂why'd you tag us in this lmfaoooo,felt like yall would get a kick outta this lol
129990,😂😂 yeah you would be lmao,"still worth it tho, imagine the video's of get to make with oma 😂😂😂"
132040,we better than last year it's ok,😂 forreal at least they're watchable
132900,took a handful of truffles at costco cause the lady said if i touch one couldn't put it back after i tried to trade light4dark,😂😂😂 that trick always works. or touch the burger they cooked before they cut it.
132954,😂😂😂 that trick always works. or touch the burger they cooked before they cut it.,she tried to tell me while i was walking away so i walked back and put my hand on the whole pile expecting a trigger 😂
135194,bestfriends boxes are always a1 trust me,😂 ur shot out
135474,remember when we were meant to see them but you bailed? yeah me too,😂😂😂 calm yourself dear
135686,lmao then you definitely don't need these problems,😂 about to get a puppy and call it a wrap 😎💯
135690,wiley turns 21 on tuesday... that means i turn 21 on tuesday🍻🍾🎉,😂😂😂 good luck with that one 😂
136004,😂😂😂😂🖕🏻 fuck you can tho....your baby will fall 😂😂😂,wtf!!! 😂😂😂😂😂😂😂
136660,😂😂😂😂😂😂 chillin on my sidekick,sidekicks will alwayss go down in history as one of the greatest phone devices
137116,😂😂😂lmaoooo why do you still make that same face ! aaliyah got heat in her gallery,i got some heat too it's just not on my phone 😂😂😂😂
138152,"ep 89: dc rebirth week 14, comics &amp; daddy issues","😂😂😂😂😂😂😂😂😂😂😂 oh snap, jim and eric love me long time."
138236,😂😂 not at all. you men just don't think 🙄,lmfao i can sense the aggression already
138728,😂 aha! i hear you. i think i will take your advice. it is time for bed. time to get my snuggles in. &amp; tweet later. gl though.,u betcha! time with them is golden
139694,😂😂😂😂😂😂😂😂😂 pathetic! 😂😂😂😂😂😂😂😂😂 how can this news network be taken seriously? the hyperbole is thick! 🇺🇸,"that was hilarious and pathetic i remember that morning it was mid 70s and breezy. no one else ""overheated"""
139722,just saw a girl wearing wallabies and jeans... i haven't seen someone with wallabies on since woodward,😂😂😂 they still make those?!
140500,"😂 trevor is right, you aren't our brightest! 🤔😢","don't worry james, we got your back. hillary policies on education will be great help to you"
140578,"i saw that peyton guy in 2007, i don't look v impressed",😂😂😂 i hate when they put people through on sympathy.
140772,i hope you're not wearing seven layers still,😂😂😂 nah if i did i prob would have passed out
141446,outback steakhouse. show em a real meal,😂😂😂 that's my place! but seems in bad taste 🤔
142382,this is actual footage of you lmao,😂👋🏼 thank u so much for being so supportive of my decline in stability
142830,*butts in* naw. still don't see it.,😂😂😂. who do you want to see?
143420,i'll be all that back there,😂 i can't with you
143844,or if it's shades darker than your hair color 🤔,😂 i think that's the worst
145570,😂😂😂😂 you couldn't wait huh bro,you already kno any new meek i be tweaking jus like everybody eles lol
145590,fox news faggots they the clowns that support trump &amp;blame spanish people black &amp; muslims 4 everything,"😂😂😂 fox news donkeys of the decade, ask he wish he could say it every morning on 😂😂"
146240,everybody ain't tia and tamera,😂 well big salute to you and yo new one
148450,"all my 15k followers, follow","😂😂 if only they were real, then just maybe..."
149094,sage watching me crochet. just waiting to pounce. that yarn must die.,😂😂😂 love that total concentration!
149368,fcking cupcakes with design of rainbows on top! 😄,😂 i was thinking of getting a chocolate cake because i would feel like i'm daisy but then it just made me realize i have no ryke
150134,"everyone's got their opinions, but good thing they don't matter to me.",😂😂😂😂😂😂 im so dead i cant even breath right now
151312,😂we all need those nights sometimes 😂,seriously lol need again
151918,😂😂😂 you dumb as hell thats what's funny,that's why you was out of lights. 😛
152074,silicon valley completes the opposite of a clean sweep!,😂 i'm a fan tho and def not the only one 👍. you guys r awesome and so is the show!.
152284,i feel like the raider logo is more shaped like a u than a c. he's already losing.,😂😂😂😂 let the l's keep coming
153136,😂😂😂 the other day in the car,😂😂😂😂😂im so sorry you had to see that side of me!!! lmao i had to smash for the one time tho and then i was fine 😂😂😂
153710,😂😂😂 casey would be in the next county if i let him off his lease,miller is good for the most part. he loves running at the beach though
153802,fuck no😃 nothing but creeps and rednecks,😂😂 there's way too many catfish on there.
153988,bog they come to shine and get you dancing along with their ban..... nvm,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂 forget bout this convo !
154872,why can't i retweet this,😂😂😂 whatever y'all
154920,😂😂😂😂 bomety,on me my body feel like it need tow keep but it can't
156012,fuck i'm sorry ._.,"😂 don't apologize, i'm not offended, we all fall victim to rhetoric we are surrounded by and hardly notice it. vigilance is key👀"
157436,😂😭😂😭😂😭😂 at least they tried,lmao nah he's super cool for that 🤓
158440,"😂 hey bri, how u doing today",lol i'm fine! i'm mad at your display name though lol
160486,😂😂😂 can it be both???,i think its both for me lol
160510,where's my cut $?,"😂 can't trademark yer rig, but you'll always have a ""first"" footnote online."
160730,like a good dream where you are on a beach in the carribean or a weird dream like you're on a beach in southern new jersey?,😂😂😂😂 not really good or bad
162478,oh ok lol i was gonna have to go to sf to take you some 😅,😂😂 i love you !!! imma need you to teach me how to do eye liner though cause mines looking a lil thick 😂
162860,your name on twitter says you are. ^^;,😂😂😂 i for got to change it
163094,😂😂 max half black i swear his comebacks be killing sa.,lol word... only other white boi who be hittin' cats hard like dat is ya man michael rappaport
163954,fuck off ricky,😂😂😂 i feel the last time sam bradford won any kind of conference/division was in college
166494,😂😂😂😂😂😂😂 but ...... i beat you when we was at the ..... oh ok,you're lying and besides i was wearing slide and we weren't even playing forreal you know it 🙄
167632,😂😂 this man stays reminiscing cuz he knows they will never win again,😂😂😂😂😂😂😂 don't be mad...we getting another one soon
168814,😂. only goes up,but now more efficiently!
169926,no eject him out the lead,😂😂 the real problem is our linebackers ! ben heeny playing middle is stupid af ..i can't wait til aldon get back
170036,"whoopi goldberg has a vegot: vetements, emmy, grammy, oscar, tony.",😂 who did this fam
170398,really ? are you a gulubut,😂this is anti gulu forum
172182,😂😂 we always say that and we end up getting them done,forsure friday ?
172432,"😂😂 i still dunno what i wanna do, i know a set of things i don't wanna do because of college.",minimizing the options is an important step in decision making :)
172564,"blacks are flocking to trump! we dont want a welfare check, we want a paycheck!","😂 you think trump is going to guarantee a paycheck? he's famous for stiffing people, not paying them"
173298,smh n tannehil scored 44 points smh,😂😂😂 i kicked ass this week
174292,"boyyy my prof just called another brown girl in the class ""bushra"" i could call you professor mayo mayo mayo but i refrain....... .....",😂 why are you so shady
174428,guys are evil,"😂😂😂 i got respek alright just don't go down that road, y'all askin for it lol"
175174,i use to hate this lil nigga 😹,😂 he's like my brother too
175454,"""look bish, just check my weight, height &amp; temperature""",😂😂 seriously!
175482,😂😂😂 next time say hi!! 👍👍👍,"i meet lots of famous ppl, nbd, i live in nyc, but would completely fan girl to meet you. i'll try 🙈"
176870,"what walking into a 50 min class 36 minutes late, but the prof don't take attendance looks like:",😂😂😂 her name's davonne. she's from 'big brother' the tv show
177106,"😂 you think trump is going to guarantee a paycheck? he's famous for stiffing people, not paying them","lol can't reason with crazy, but they'll come a calling when trump screws them over"
177298,😂😂😂😂 cuban is a joke!!,at least you admit you're deplorable!
177330,".. wait, what?",😂😂 nobody can understand there's a button that says flush...so they hit the attendant button instead 😩
