,date,AA,GE,IBM,MSFT
43,1990-04-04 00:00:00,5.13,3.01,18.52,0.64
44,1990-04-05 00:00:00,5.15,3.01,18.45,0.62
45,1990-04-06 00:00:00,5.04,3.01,18.41,0.62
46,1990-04-09 00:00:00,5.06,3.02,18.34,0.62
47,1990-04-10 00:00:00,5.11,3.01,18.41,0.64
48,1990-04-11 00:00:00,5.2,3.03,18.49,0.66
49,1990-04-12 00:00:00,5.25,3.09,18.62,0.66
50,1990-04-16 00:00:00,5.27,3.12,19.28,0.66
51,1990-04-17 00:00:00,5.26,3.13,19.32,0.68
52,1990-04-18 00:00:00,5.21,3.11,19.1,0.66
53,1990-04-19 00:00:00,5.15,3.08,18.97,0.65
54,1990-04-20 00:00:00,5.1,3.06,19.01,0.65
55,1990-04-23 00:00:00,5.04,3.02,19.01,0.64
56,1990-04-24 00:00:00,5.07,3.01,18.93,0.63
57,1990-04-25 00:00:00,5.1,3.01,19.01,0.63
58,1990-04-26 00:00:00,5.12,3.02,18.91,0.63
59,1990-04-27 00:00:00,5.14,2.99,18.67,0.61
60,1990-04-30 00:00:00,5.07,2.99,18.95,0.63
61,1990-05-01 00:00:00,5.07,3.01,18.78,0.62
62,1990-05-02 00:00:00,5.09,3.03,18.97,0.64
63,1990-05-03 00:00:00,5.11,3.03,18.99,0.64
64,1990-05-04 00:00:00,5.11,3.06,19.43,0.67
65,1990-05-07 00:00:00,5.19,3.08,19.43,0.7
66,1990-05-08 00:00:00,5.23,3.1,19.47,0.68
67,1990-05-09 00:00:00,5.19,3.12,19.56,0.68
68,1990-05-10 00:00:00,5.19,3.15,19.75,0.7
69,1990-05-11 00:00:00,5.25,3.19,20.04,0.71
70,1990-05-14 00:00:00,5.27,3.2,20.09,0.72
71,1990-05-15 00:00:00,5.31,3.19,20.33,0.71
72,1990-05-16 00:00:00,5.28,3.19,20.28,0.71
73,1990-05-17 00:00:00,5.35,3.18,20.41,0.71
74,1990-05-18 00:00:00,5.37,3.19,20.28,0.74
75,1990-05-21 00:00:00,5.44,3.2,20.57,0.77
76,1990-05-22 00:00:00,5.51,3.2,20.7,0.78
77,1990-05-23 00:00:00,5.44,3.2,20.88,0.83
78,1990-05-24 00:00:00,5.32,3.25,20.88,0.83
79,1990-05-25 00:00:00,5.31,3.2,20.44,0.81
80,1990-05-29 00:00:00,5.35,3.26,21.05,0.82
81,1990-05-30 00:00:00,5.35,3.25,21.25,0.82
82,1990-05-31 00:00:00,5.39,3.24,21.1,0.8
83,1990-06-01 00:00:00,5.46,3.27,21.01,0.82
84,1990-06-04 00:00:00,5.58,3.31,21.16,0.83
85,1990-06-05 00:00:00,5.57,3.29,21.23,0.8
86,1990-06-06 00:00:00,5.55,3.27,21.21,0.8
87,1990-06-07 00:00:00,5.5,3.26,21.21,0.79
88,1990-06-08 00:00:00,5.48,3.23,20.88,0.8
89,1990-06-11 00:00:00,5.5,3.24,21.07,0.82
90,1990-06-12 00:00:00,5.51,3.31,21.14,0.83
91,1990-06-13 00:00:00,5.49,3.31,21.34,0.83
92,1990-06-14 00:00:00,5.46,3.28,21.25,0.82
93,1990-06-15 00:00:00,5.39,3.3,21.16,0.83
94,1990-06-18 00:00:00,5.33,3.26,20.85,0.82
95,1990-06-19 00:00:00,5.31,3.29,20.88,0.82
96,1990-06-20 00:00:00,5.39,3.3,20.74,0.85
97,1990-06-21 00:00:00,5.39,3.3,20.94,0.84
98,1990-06-22 00:00:00,5.32,3.27,20.44,0.83
99,1990-06-25 00:00:00,5.29,3.27,20.5,0.81
100,1990-06-26 00:00:00,5.22,3.25,20.52,0.82
101,1990-06-27 00:00:00,5.22,3.26,20.74,0.83
102,1990-06-28 00:00:00,5.21,3.26,20.68,0.83
103,1990-06-29 00:00:00,5.21,3.26,20.66,0.83
104,1990-07-02 00:00:00,5.23,3.32,20.83,0.8
105,1990-07-03 00:00:00,5.29,3.35,20.68,0.79
106,1990-07-05 00:00:00,5.24,3.31,20.63,0.79
107,1990-07-06 00:00:00,5.44,3.33,20.74,0.8
108,1990-07-09 00:00:00,5.47,3.36,20.92,0.81
109,1990-07-10 00:00:00,5.39,3.33,20.7,0.8
110,1990-07-11 00:00:00,5.53,3.4,20.94,0.82
111,1990-07-12 00:00:00,5.58,3.46,21.1,0.85
112,1990-07-13 00:00:00,5.62,3.53,21.27,0.86
113,1990-07-16 00:00:00,5.66,3.52,21.51,0.86
114,1990-07-17 00:00:00,5.55,3.5,21.23,0.85
115,1990-07-18 00:00:00,5.51,3.5,21.07,0.83
116,1990-07-19 00:00:00,5.54,3.53,21.1,0.84
117,1990-07-20 00:00:00,5.41,3.49,20.68,0.8
118,1990-07-23 00:00:00,5.39,3.41,20.37,0.79
119,1990-07-24 00:00:00,5.53,3.43,20.17,0.76
120,1990-07-25 00:00:00,5.65,3.45,20.17,0.78
121,1990-07-26 00:00:00,5.64,3.44,19.89,0.75
122,1990-07-27 00:00:00,5.59,3.39,19.58,0.75
123,1990-07-30 00:00:00,5.75,3.41,19.71,0.74
124,1990-07-31 00:00:00,5.74,3.37,19.6,0.73
125,1990-08-01 00:00:00,5.64,3.39,19.62,0.73
126,1990-08-02 00:00:00,5.56,3.33,19.29,0.72
127,1990-08-03 00:00:00,5.41,3.29,19.01,0.69
128,1990-08-06 00:00:00,5.15,3.11,18.47,0.66
129,1990-08-07 00:00:00,5.21,3.17,18.31,0.67
130,1990-08-08 00:00:00,5.27,3.2,18.33,0.69
131,1990-08-09 00:00:00,5.31,3.2,18.36,0.71
132,1990-08-10 00:00:00,5.23,3.14,18.13,0.7
133,1990-08-13 00:00:00,5.28,3.18,18.45,0.71
134,1990-08-14 00:00:00,5.32,3.16,18.56,0.7
135,1990-08-15 00:00:00,5.35,3.12,18.67,0.7
136,1990-08-16 00:00:00,5.25,3.06,18.45,0.67
137,1990-08-17 00:00:00,5.21,3.01,18.02,0.66
138,1990-08-20 00:00:00,5.18,3.01,18.18,0.61
139,1990-08-21 00:00:00,5.11,2.91,17.87,0.59
140,1990-08-22 00:00:00,5.05,2.84,17.6,0.59
141,1990-08-23 00:00:00,5.02,2.76,17.22,0.56
142,1990-08-24 00:00:00,5.06,2.89,17.84,0.62
143,1990-08-27 00:00:00,5.13,2.99,18.56,0.66
144,1990-08-28 00:00:00,5.13,2.96,18.42,0.69
145,1990-08-29 00:00:00,5.2,2.95,18.47,0.66
146,1990-08-30 00:00:00,5.25,2.91,18.09,0.65
147,1990-08-31 00:00:00,5.32,2.92,18.11,0.67
148,1990-09-04 00:00:00,5.39,2.88,18.22,0.68
149,1990-09-05 00:00:00,5.52,2.84,18.22,0.64
150,1990-09-06 00:00:00,5.48,2.83,18.2,0.63
151,1990-09-07 00:00:00,5.52,2.86,18.76,0.63
152,1990-09-10 00:00:00,5.54,2.88,18.82,0.61
153,1990-09-11 00:00:00,5.47,2.93,19.11,0.61
154,1990-09-12 00:00:00,5.64,2.92,19.18,0.63
155,1990-09-13 00:00:00,5.56,2.84,18.67,0.63
156,1990-09-14 00:00:00,5.51,2.8,18.56,0.65
157,1990-09-17 00:00:00,5.58,2.78,18.69,0.66
158,1990-09-18 00:00:00,5.63,2.76,19.07,0.67
159,1990-09-19 00:00:00,5.77,2.64,19.27,0.68
160,1990-09-20 00:00:00,5.65,2.62,19.18,0.65
161,1990-09-21 00:00:00,5.58,2.65,18.98,0.66
162,1990-09-24 00:00:00,5.27,2.59,18.67,0.64
163,1990-09-25 00:00:00,5.2,2.64,18.91,0.66
164,1990-09-26 00:00:00,5.19,2.61,18.73,0.66
165,1990-09-27 00:00:00,5.16,2.45,18.56,0.65
166,1990-09-28 00:00:00,5.18,2.59,18.91,0.69
167,1990-10-01 00:00:00,5.25,2.67,19.38,0.73
168,1990-10-02 00:00:00,5.2,2.65,19.25,0.72
169,1990-10-03 00:00:00,5.18,2.59,19.09,0.72
170,1990-10-04 00:00:00,5.16,2.58,19.18,0.7
171,1990-10-05 00:00:00,5.12,2.58,19.25,0.71
172,1990-10-08 00:00:00,5.11,2.59,19.47,0.72
173,1990-10-09 00:00:00,4.94,2.51,18.73,0.69
174,1990-10-10 00:00:00,4.67,2.47,18.4,0.65
175,1990-10-11 00:00:00,4.5,2.43,17.96,0.63
176,1990-10-12 00:00:00,4.42,2.52,17.82,0.62
177,1990-10-15 00:00:00,4.36,2.58,17.65,0.62
178,1990-10-16 00:00:00,4.29,2.45,17.67,0.6
179,1990-10-17 00:00:00,4.35,2.5,17.91,0.62
180,1990-10-18 00:00:00,4.46,2.59,18.73,0.67
181,1990-10-19 00:00:00,4.49,2.64,19.13,0.68
182,1990-10-22 00:00:00,4.54,2.55,19.16,0.7
183,1990-10-23 00:00:00,4.54,2.56,18.98,0.7
184,1990-10-24 00:00:00,4.6,2.46,19.31,0.71
185,1990-10-25 00:00:00,4.6,2.43,19.22,0.71
186,1990-10-26 00:00:00,4.56,2.4,19.0,0.69
187,1990-10-29 00:00:00,4.53,2.42,18.85,0.68
188,1990-10-30 00:00:00,4.44,2.51,18.91,0.7
189,1990-10-31 00:00:00,4.42,2.47,18.76,0.7
190,1990-11-01 00:00:00,4.43,2.49,19.07,0.69
191,1990-11-02 00:00:00,4.52,2.52,19.27,0.71
192,1990-11-05 00:00:00,4.5,2.56,19.39,0.72
193,1990-11-06 00:00:00,4.41,2.54,19.39,0.7
194,1990-11-07 00:00:00,4.31,2.47,19.15,0.7
195,1990-11-08 00:00:00,4.2,2.46,19.33,0.69
196,1990-11-09 00:00:00,4.2,2.55,19.82,0.71
197,1990-11-12 00:00:00,4.35,2.63,20.32,0.75
198,1990-11-13 00:00:00,4.33,2.64,20.14,0.75
199,1990-11-14 00:00:00,4.38,2.62,20.41,0.76
200,1990-11-15 00:00:00,4.43,2.61,20.25,0.74
201,1990-11-16 00:00:00,4.41,2.63,20.43,0.74
202,1990-11-19 00:00:00,4.41,2.63,20.63,0.76
203,1990-11-20 00:00:00,4.41,2.53,20.38,0.74
204,1990-11-21 00:00:00,4.49,2.55,20.52,0.75
205,1990-11-23 00:00:00,4.51,2.55,20.25,0.75
206,1990-11-26 00:00:00,4.51,2.54,20.47,0.77
207,1990-11-27 00:00:00,4.57,2.54,20.41,0.78
208,1990-11-28 00:00:00,4.56,2.5,20.2,0.77
209,1990-11-29 00:00:00,4.54,2.52,20.14,0.78
210,1990-11-30 00:00:00,4.57,2.6,20.43,0.79
211,1990-12-03 00:00:00,4.58,2.61,20.38,0.81
212,1990-12-04 00:00:00,4.58,2.66,20.63,0.81
213,1990-12-05 00:00:00,4.68,2.73,20.61,0.82
214,1990-12-06 00:00:00,4.69,2.76,20.05,0.82
215,1990-12-07 00:00:00,4.69,2.76,20.23,0.81
216,1990-12-10 00:00:00,4.79,2.73,20.38,0.81
217,1990-12-11 00:00:00,4.77,2.72,20.29,0.79
218,1990-12-12 00:00:00,4.87,2.73,20.56,0.79
219,1990-12-13 00:00:00,4.86,2.7,20.29,0.79
220,1990-12-14 00:00:00,4.81,2.67,20.0,0.8
221,1990-12-17 00:00:00,4.78,2.66,20.05,0.81
222,1990-12-18 00:00:00,4.81,2.73,20.41,0.82
223,1990-12-19 00:00:00,4.9,2.72,20.27,0.82
224,1990-12-20 00:00:00,4.88,2.76,20.45,0.82
225,1990-12-21 00:00:00,4.9,2.78,20.47,0.83
226,1990-12-24 00:00:00,4.86,2.76,20.47,0.82
227,1990-12-26 00:00:00,4.87,2.75,20.41,0.82
228,1990-12-27 00:00:00,4.8,2.74,20.43,0.82
229,1990-12-28 00:00:00,4.76,2.75,20.38,0.82
230,1990-12-31 00:00:00,4.8,2.75,20.32,0.82
231,1991-01-02 00:00:00,4.83,2.71,20.16,0.82
232,1991-01-03 00:00:00,4.8,2.65,20.23,0.82
233,1991-01-04 00:00:00,4.69,2.62,20.16,0.83
234,1991-01-07 00:00:00,4.66,2.58,19.82,0.82
235,1991-01-08 00:00:00,4.59,2.6,19.6,0.8
236,1991-01-09 00:00:00,4.51,2.6,19.22,0.81
237,1991-01-10 00:00:00,4.62,2.6,19.48,0.85
238,1991-01-11 00:00:00,4.63,2.59,19.44,0.85
239,1991-01-14 00:00:00,4.63,2.6,19.19,0.84
240,1991-01-15 00:00:00,4.65,2.61,19.33,0.86
241,1991-01-16 00:00:00,4.65,2.62,19.62,0.9
242,1991-01-17 00:00:00,4.87,2.78,20.81,0.92
243,1991-01-18 00:00:00,4.97,2.77,21.15,0.93
244,1991-01-21 00:00:00,5.01,2.75,21.51,0.98
245,1991-01-22 00:00:00,4.87,2.72,21.22,0.97
246,1991-01-23 00:00:00,4.97,2.74,21.44,0.97
247,1991-01-24 00:00:00,4.91,2.8,21.76,0.99
248,1991-01-25 00:00:00,4.93,2.87,22.05,0.98
249,1991-01-28 00:00:00,4.99,2.91,22.34,1.01
250,1991-01-29 00:00:00,5.15,2.91,22.39,1.01
251,1991-01-30 00:00:00,5.46,2.97,22.83,1.05
252,1991-01-31 00:00:00,5.41,3.07,22.79,1.07
253,1991-02-01 00:00:00,5.49,3.07,22.81,1.09
254,1991-02-04 00:00:00,5.6,3.12,23.12,1.08
255,1991-02-05 00:00:00,5.55,3.18,23.33,1.11
256,1991-02-06 00:00:00,5.51,3.19,23.58,1.15
257,1991-02-07 00:00:00,5.43,3.11,23.33,1.12
258,1991-02-08 00:00:00,5.49,3.13,23.51,1.14
259,1991-02-11 00:00:00,5.75,3.2,24.03,1.14
260,1991-02-12 00:00:00,5.61,3.2,24.1,1.13
261,1991-02-13 00:00:00,5.86,3.25,24.44,1.15
262,1991-02-14 00:00:00,5.68,3.23,24.51,1.1
263,1991-02-15 00:00:00,5.72,3.34,24.94,1.13
264,1991-02-19 00:00:00,5.68,3.34,25.32,1.12
265,1991-02-20 00:00:00,5.58,3.28,25.03,1.12
266,1991-02-21 00:00:00,5.5,3.27,24.6,1.09
267,1991-02-22 00:00:00,5.44,3.32,24.19,1.12
268,1991-02-25 00:00:00,5.34,3.36,24.26,1.12
269,1991-02-26 00:00:00,5.45,3.28,23.55,1.11
270,1991-02-27 00:00:00,5.38,3.33,23.76,1.15
271,1991-02-28 00:00:00,5.39,3.28,23.37,1.13
272,1991-03-01 00:00:00,5.53,3.33,23.78,1.15
273,1991-03-04 00:00:00,5.62,3.3,23.71,1.17
274,1991-03-05 00:00:00,5.7,3.33,24.23,1.22
275,1991-03-06 00:00:00,5.79,3.31,24.12,1.17
276,1991-03-07 00:00:00,5.7,3.29,24.05,1.14
277,1991-03-08 00:00:00,5.67,3.22,23.83,1.12
278,1991-03-11 00:00:00,5.64,3.3,23.44,1.08
279,1991-03-12 00:00:00,5.65,3.28,23.05,1.05
280,1991-03-13 00:00:00,5.8,3.35,23.44,1.1
281,1991-03-14 00:00:00,5.79,3.31,23.26,1.07
282,1991-03-15 00:00:00,5.71,3.31,22.99,1.05
283,1991-03-18 00:00:00,5.68,3.32,23.21,1.08
284,1991-03-19 00:00:00,5.57,3.26,20.9,1.08
285,1991-03-20 00:00:00,5.56,3.22,20.72,1.08
286,1991-03-21 00:00:00,5.47,3.2,20.31,1.03
287,1991-03-22 00:00:00,5.52,3.2,20.26,1.02
288,1991-03-25 00:00:00,5.54,3.23,20.6,1.07
289,1991-03-26 00:00:00,5.61,3.39,20.67,1.15
290,1991-03-27 00:00:00,5.59,3.36,20.49,1.18
291,1991-03-28 00:00:00,5.51,3.36,20.67,1.16
292,1991-04-01 00:00:00,5.42,3.37,20.38,1.17
293,1991-04-02 00:00:00,5.54,3.48,20.56,1.23
294,1991-04-03 00:00:00,5.51,3.45,20.53,1.24
295,1991-04-04 00:00:00,5.47,3.47,20.6,1.24
296,1991-04-05 00:00:00,5.45,3.42,20.44,1.2
297,1991-04-08 00:00:00,5.44,3.46,20.51,1.22
298,1991-04-09 00:00:00,5.4,3.44,20.2,1.2
299,1991-04-10 00:00:00,5.33,3.5,20.2,1.17
300,1991-04-11 00:00:00,5.3,3.51,20.08,1.21
301,1991-04-12 00:00:00,5.23,3.53,19.7,1.17
302,1991-04-15 00:00:00,5.5,3.56,19.4,1.24
303,1991-04-16 00:00:00,5.5,3.62,19.83,1.23
304,1991-04-17 00:00:00,5.72,3.63,19.94,1.22
305,1991-04-18 00:00:00,5.7,3.62,19.92,1.2
306,1991-04-19 00:00:00,5.66,3.59,19.88,1.17
307,1991-04-22 00:00:00,5.63,3.54,19.7,1.11
308,1991-04-23 00:00:00,5.73,3.52,19.67,1.11
309,1991-04-24 00:00:00,5.88,3.5,19.65,1.12
310,1991-04-25 00:00:00,5.73,3.45,19.61,1.1
311,1991-04-26 00:00:00,5.63,3.47,19.49,1.1
312,1991-04-29 00:00:00,5.68,3.38,19.04,1.07
313,1991-04-30 00:00:00,5.71,3.42,18.7,1.08
314,1991-05-01 00:00:00,5.92,3.5,18.88,1.1
315,1991-05-02 00:00:00,6.01,3.5,19.22,1.1
316,1991-05-03 00:00:00,5.97,3.51,18.81,1.11
317,1991-05-06 00:00:00,6.05,3.52,18.99,1.12
318,1991-05-07 00:00:00,5.99,3.53,18.71,1.11
319,1991-05-08 00:00:00,5.97,3.52,19.06,1.12
320,1991-05-09 00:00:00,6.0,3.56,19.45,1.15
321,1991-05-10 00:00:00,6.04,3.44,18.99,1.12
322,1991-05-13 00:00:00,5.86,3.45,19.45,1.13
323,1991-05-14 00:00:00,5.74,3.42,19.47,1.11
324,1991-05-15 00:00:00,5.63,3.42,18.87,1.07
325,1991-05-16 00:00:00,5.67,3.43,19.12,1.08
326,1991-05-17 00:00:00,5.57,3.45,19.06,1.08
327,1991-05-20 00:00:00,5.63,3.49,18.96,1.08
328,1991-05-21 00:00:00,5.72,3.51,18.64,1.11
329,1991-05-22 00:00:00,5.74,3.45,19.22,1.17
330,1991-05-23 00:00:00,5.66,3.49,19.22,1.2
331,1991-05-24 00:00:00,5.73,3.53,19.29,1.2
332,1991-05-28 00:00:00,5.99,3.58,19.31,1.21
333,1991-05-29 00:00:00,6.09,3.6,19.12,1.2
334,1991-05-30 00:00:00,6.04,3.69,19.17,1.2
335,1991-05-31 00:00:00,6.02,3.76,19.49,1.2
336,1991-06-03 00:00:00,6.06,3.77,19.54,1.22
337,1991-06-04 00:00:00,6.09,3.74,19.29,1.23
338,1991-06-05 00:00:00,6.05,3.68,18.96,1.22
339,1991-06-06 00:00:00,5.91,3.66,18.92,1.21
340,1991-06-07 00:00:00,5.82,3.6,18.73,1.2
341,1991-06-10 00:00:00,5.76,3.62,18.8,1.21
342,1991-06-11 00:00:00,5.68,3.66,18.78,1.21
343,1991-06-12 00:00:00,5.66,3.61,18.64,1.21
344,1991-06-13 00:00:00,5.66,3.64,18.48,1.21
345,1991-06-14 00:00:00,5.71,3.68,18.44,1.24
346,1991-06-17 00:00:00,5.83,3.63,18.28,1.24
347,1991-06-18 00:00:00,5.88,3.63,18.53,1.22
348,1991-06-19 00:00:00,5.88,3.6,18.55,1.13
349,1991-06-20 00:00:00,5.88,3.6,18.21,1.1
350,1991-06-21 00:00:00,5.85,3.65,18.3,1.12
351,1991-06-24 00:00:00,5.7,3.59,18.07,1.07
352,1991-06-25 00:00:00,5.64,3.58,18.25,1.08
353,1991-06-26 00:00:00,5.63,3.57,18.11,1.1
354,1991-06-27 00:00:00,5.74,3.63,17.93,1.11
355,1991-06-28 00:00:00,5.71,3.6,17.84,1.12
356,1991-07-01 00:00:00,5.65,3.64,18.07,1.17
357,1991-07-02 00:00:00,5.81,3.65,18.21,1.12
358,1991-07-03 00:00:00,5.74,3.6,18.02,1.05
359,1991-07-05 00:00:00,5.7,3.59,18.11,1.01
360,1991-07-08 00:00:00,5.78,3.64,18.46,1.1
361,1991-07-09 00:00:00,5.74,3.63,18.28,1.11
362,1991-07-10 00:00:00,5.75,3.61,18.14,1.07
363,1991-07-11 00:00:00,5.87,3.65,18.05,1.08
364,1991-07-12 00:00:00,5.96,3.66,18.25,1.11
365,1991-07-15 00:00:00,6.05,3.66,18.23,1.14
366,1991-07-16 00:00:00,6.04,3.59,17.75,1.11
367,1991-07-17 00:00:00,5.92,3.49,17.68,1.11
368,1991-07-18 00:00:00,6.05,3.56,18.05,1.1
369,1991-07-19 00:00:00,6.11,3.58,18.46,1.11
370,1991-07-22 00:00:00,6.05,3.56,18.73,1.11
371,1991-07-23 00:00:00,6.12,3.51,18.48,1.09
372,1991-07-24 00:00:00,5.98,3.47,18.51,1.07
373,1991-07-25 00:00:00,6.0,3.53,18.46,1.08
374,1991-07-26 00:00:00,6.01,3.54,18.46,1.16
375,1991-07-29 00:00:00,5.95,3.54,18.62,1.15
376,1991-07-30 00:00:00,5.99,3.56,18.67,1.19
377,1991-07-31 00:00:00,6.01,3.56,18.6,1.2
378,1991-08-01 00:00:00,5.95,3.55,18.6,1.2
379,1991-08-02 00:00:00,5.91,3.54,18.44,1.2
380,1991-08-05 00:00:00,5.77,3.5,18.55,1.18
381,1991-08-06 00:00:00,5.81,3.54,18.66,1.22
382,1991-08-07 00:00:00,5.91,3.59,18.4,1.24
383,1991-08-08 00:00:00,5.75,3.59,18.45,1.29
384,1991-08-09 00:00:00,5.82,3.58,18.38,1.32
385,1991-08-12 00:00:00,5.82,3.57,18.33,1.36
386,1991-08-13 00:00:00,5.84,3.56,18.4,1.35
387,1991-08-14 00:00:00,5.74,3.55,18.31,1.35
388,1991-08-15 00:00:00,5.73,3.53,18.29,1.33
389,1991-08-16 00:00:00,5.74,3.5,17.94,1.34
390,1991-08-19 00:00:00,5.63,3.42,17.66,1.31
391,1991-08-20 00:00:00,5.5,3.43,17.8,1.32
392,1991-08-21 00:00:00,5.57,3.54,17.78,1.38
393,1991-08-22 00:00:00,5.65,3.55,17.54,1.38
394,1991-08-23 00:00:00,5.91,3.63,17.64,1.4
395,1991-08-26 00:00:00,5.96,3.63,17.68,1.4
396,1991-08-27 00:00:00,5.9,3.6,17.71,1.39
397,1991-08-28 00:00:00,5.93,3.64,17.57,1.4
398,1991-08-29 00:00:00,5.88,3.63,17.75,1.4
399,1991-08-30 00:00:00,5.89,3.64,18.01,1.4
400,1991-09-03 00:00:00,5.83,3.6,18.22,1.36
401,1991-09-04 00:00:00,5.78,3.58,18.33,1.35
402,1991-09-05 00:00:00,5.78,3.51,18.26,1.32
403,1991-09-06 00:00:00,5.74,3.45,18.47,1.32
404,1991-09-09 00:00:00,5.68,3.43,18.78,1.32
405,1991-09-10 00:00:00,5.64,3.42,18.52,1.31
406,1991-09-11 00:00:00,5.69,3.42,18.84,1.34
407,1991-09-12 00:00:00,5.65,3.39,19.33,1.4
408,1991-09-13 00:00:00,5.63,3.3,19.12,1.36
409,1991-09-16 00:00:00,5.73,3.39,19.26,1.36
410,1991-09-17 00:00:00,5.7,3.36,19.5,1.38
411,1991-09-18 00:00:00,5.7,3.37,19.59,1.39
412,1991-09-19 00:00:00,5.67,3.38,19.5,1.41
413,1991-09-20 00:00:00,5.62,3.4,19.38,1.42
414,1991-09-23 00:00:00,5.52,3.38,19.45,1.39
415,1991-09-24 00:00:00,5.43,3.42,19.68,1.44
416,1991-09-25 00:00:00,5.4,3.37,19.52,1.44
417,1991-09-26 00:00:00,5.47,3.38,19.5,1.46
418,1991-09-27 00:00:00,5.43,3.37,19.01,1.44
419,1991-09-30 00:00:00,5.44,3.4,19.26,1.46
420,1991-10-01 00:00:00,5.36,3.42,19.08,1.45
421,1991-10-02 00:00:00,5.17,3.45,18.8,1.42
422,1991-10-03 00:00:00,5.05,3.39,18.4,1.43
423,1991-10-04 00:00:00,4.98,3.35,18.26,1.44
424,1991-10-07 00:00:00,4.96,3.29,18.38,1.45
425,1991-10-08 00:00:00,5.09,3.28,18.22,1.46
426,1991-10-09 00:00:00,5.17,3.2,18.08,1.47
427,1991-10-10 00:00:00,5.22,3.29,18.54,1.47
428,1991-10-11 00:00:00,5.2,3.26,18.57,1.47
429,1991-10-14 00:00:00,5.16,3.31,18.82,1.51
430,1991-10-15 00:00:00,5.18,3.43,19.38,1.5
431,1991-10-16 00:00:00,5.44,3.49,18.89,1.49
432,1991-10-17 00:00:00,5.47,3.5,18.57,1.46
433,1991-10-18 00:00:00,5.45,3.5,18.66,1.47
434,1991-10-21 00:00:00,5.44,3.48,18.64,1.49
435,1991-10-22 00:00:00,5.44,3.48,18.31,1.5
436,1991-10-23 00:00:00,5.36,3.53,18.31,1.48
437,1991-10-24 00:00:00,5.31,3.48,18.26,1.48
438,1991-10-25 00:00:00,5.27,3.39,18.22,1.47
439,1991-10-28 00:00:00,5.29,3.44,18.26,1.48
440,1991-10-29 00:00:00,5.33,3.47,18.38,1.49
441,1991-10-30 00:00:00,5.44,3.43,18.64,1.55
442,1991-10-31 00:00:00,5.43,3.38,18.26,1.54
443,1991-11-01 00:00:00,5.4,3.35,18.29,1.52
444,1991-11-04 00:00:00,5.36,3.36,18.26,1.49
445,1991-11-05 00:00:00,5.41,3.33,18.19,1.53
446,1991-11-06 00:00:00,5.36,3.36,18.19,1.56
447,1991-11-07 00:00:00,5.43,3.36,18.8,1.55
448,1991-11-08 00:00:00,5.39,3.37,18.87,1.56
449,1991-11-11 00:00:00,5.36,3.36,18.84,1.6
